file,sheet,analysis_group,expected_family,seal_label,heat_source_inferred,duration_h,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,std_in_hum_run,std_AH_in_run,amp_in_hum_p95_p05,amp_AH_in_p95_p05,amp_dAH_p95_p05,rh_ah_ratio,net_rh_drift_ratio,net_ah_drift_ratio,corr_in_temp_in_hum,corr_in_temp_AH_in,corr_out_hum_in_hum,corr_out_AH_in_AH,dAH_positive_ratio,out_hum_high_ratio_90,in_hum_high_ratio_90,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,q90_delta_half_in_hum,q90_delta_half_dAH_w,q90_slope_AH_in,q90_max_hourly_hum_rise,frac_pos_delta_half_dAH,top3_info_mean,frac_threshold_favored,route_transition_ratio,route_static_threshold_ratio,route_static_memory_ratio,route_background_ratio,route_heat_reject_ratio,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h,no_heat_response_score_v1,pass_corr_out_hum_in_hum,pass_max_corr_outRH_inRH_change,pass_frac_threshold_favored,pass_frac_pos_delta_half_dAH,pass_q90_delta_half_dAH_w,pass_std_in_hum_run,response_hit_count,response_hit_features,final_status,risk_level,primary_evidence,dynamic_vote_count,hard_case_watch,notes,response_branch_status
2026-03-03 181049_unseal_unheated,Serial Data Log,current_static_unseal,ext_high_hum_no_heat,unseal,无,15.206944444444444,88.56181818181818,0.4385432639649507,-3.9811571374704875,-31.052935377875137,2.3400000000000034,0.6159506123075715,-0.33986932930831726,0.0907935507991311,-0.06265016696099389,-3.8953505362475385,0.4691021898685808,0.7629395069599451,1.617999999999995,2.4138072048449883,1.4200072519176672,0.614861578918352,4.988252134690643,5.105713494598265,-0.9954255698810885,0.9988401910202359,0.9895938484614762,0.6982023113085198,0.0,0.36801752464403065,0.0,0.8181818181818182,0.18181818181818182,0.0,0.3914546865301034,0.05341278037982189,-0.06208972977612991,0.41583333333333883,0.6363636363636364,1.2049947868865098,0.7777777777777778,0.0,0.6363636363636364,0.18181818181818182,0.0,0.18181818181818182,-0.5472368127867813,5.0,0.17701507095625685,0.9855582530539032,0.0,0.5058680696074465,True,True,True,True,True,True,6,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w,std_in_hum_run",static_dynamic_support_alert,medium,multiview_support,6.0,False,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=6 | hard_case_ratio=0.902 | multiview support recovers static miss,ext_high_hum_no_heat_response_supported
2026-03-06 160246_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,42.303333333333335,88.45334777471444,0.3872784560850729,-4.690079421753389,-38.53826703426545,6.020000000000003,2.2647777591630813,0.32888419194442076,0.11234316999522387,0.016538736586311095,-2.473507676087391,1.4699285212365238,0.646338382925979,4.670999999999999,1.9085564526448868,0.8314976200549182,2.2742398719725507,4.0954372359112385,3.826954643927848,-0.9861422574010578,0.9983117281403805,0.9552049799426717,0.9759127066170654,0.0,0.5072863332020481,0.0,1.0,0.0,0.0,0.8213277777777772,0.19892718050303934,-0.0032996962433801684,0.31356666666666305,0.7631578947368421,2.405585631903308,0.7631578947368421,0.0,0.7631578947368421,0.23684210526315788,0.0,0.0,0.7246604476789771,1.0,0.3027590808755177,0.864566411015004,0.0,0.26493597343125486,True,True,True,True,True,False,5,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w",static_hard_case_watch,watch,hard_case_multiview,5.0,True,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=5 | hard_case_ratio=0.688 | hard case watch overrides static alerting,ext_high_hum_no_heat_breathing_watch
2026-03-02 161335_seal_unheated,Serial Data Log,current_static_seal,ext_high_hum_no_heat,seal,无,17.473333333333333,80.90816015252622,-0.6948999046711154,-4.2121693117821835,-24.139933269780748,-2.8699999999999974,-1.1368899309341955,-0.30387473870645554,-0.1423855639090564,-0.045348496730809075,-4.453225531235083,0.8134095038750092,0.7847189688056384,2.7560000000000002,2.2591947573250204,0.879055971050013,1.0365615414051206,3.5283580857213708,5.674930399621921,0.610467169278963,0.9916551734438591,-0.9318242664403898,0.8370074289597724,0.0019065776930409914,0.0,0.0,1.0,0.0,0.0,-0.15626666666665584,-0.006520478122133962,-0.055773495724245586,-0.0451666666666668,0.0,0.7127191136827787,0.0,0.0,0.0,1.0,0.0,0.0,0.9579009734631695,0.0,0.41766653523253455,-0.6796397671673594,0.0,0.0,False,False,False,False,False,False,0,,static_abstain_low_signal,abstain,similarity_branch,1.0,False,threshold branch abstained | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=1.090,ext_high_hum_no_heat_response_negative
