holdout_file,n_test_windows,label,fold_auc,fold_balanced_accuracy,mean_prob
2026-03-02 161335_seal_unheated,6,0,,0.5,0.4839395582675934
2026-03-03 181049_unseal_unheated,4,1,,0.0,0.04193809628486633
2026-03-04 163909_unseal_unheated,13,1,,0.07692307692307693,0.356436550617218
2026-03-06 160246_seal_unheated,13,0,,0.3076923076923077,0.6907266974449158
2026-03-22 150919_unseal_unheated,7,1,,1.0,0.5643149018287659
2026-03-23 213435_seal_unheated,6,0,,0.0,0.9443023800849915
