file,sheet,window_id,start_time,end_time,window_center_time,class_label,predicted_group,expected_family,expected_match,transition_phase,seal_label,heat_source_inferred,hole_time,mean_in_temp,std_in_temp,slope_in_temp,mean_out_temp,std_out_temp,slope_out_temp,mean_in_hum,std_in_hum,slope_in_hum,mean_out_hum,std_out_hum,slope_out_hum,mean_AH_in,std_AH_in,slope_AH_in,mean_AH_out,std_AH_out,slope_AH_out,mean_dT,std_dT,slope_dT,mean_dAH,std_dAH,slope_dAH,first_mean_in_temp,second_mean_in_temp,delta_half_in_temp,first_mean_out_temp,second_mean_out_temp,delta_half_out_temp,first_mean_in_hum,second_mean_in_hum,delta_half_in_hum,first_mean_out_hum,second_mean_out_hum,delta_half_out_hum,first_mean_AH_in,second_mean_AH_in,delta_half_AH_in,first_mean_AH_out,second_mean_AH_out,delta_half_AH_out,first_mean_dT,second_mean_dT,delta_half_dT,first_mean_dAH,second_mean_dAH,delta_half_dAH,first_slope_in_temp,second_slope_in_temp,first_slope_AH_in,second_slope_AH_in,delta_in_temp,delta_out_temp,delta_in_hum,delta_AH_in,corr_temp,corr_hum,corr_AH,high_in_hum_ratio,high_out_hum_ratio,in_ah_gt_out_ah_ratio,max_hourly_temp_rise,max_hourly_temp_drop,max_hourly_hum_rise,transition_score,transition_rank_pct,cooling_response_flag
2026-03-03 101220_seal_heated,Serial Data Log,W0001,2026-03-03 10:00:00,2026-03-03 12:00:00,2026-03-03 11:00:00,热源启动窗口,heat_related,ext_high_hum_with_heat,1.0,no_transition,seal,有,,21.762523364485983,2.474948481818662,4.665445758573815,17.97859813084112,1.0253553903892283,1.9700600863381903,56.700654205607485,0.9365021945677754,-1.703014017439938,85.86065420560749,0.5043869266257943,0.9254525996555482,10.924398288164808,1.3423549301291204,2.548923500333224,13.19208011074313,0.8796121899865486,1.6911837106056409,3.78392523364486,1.5326914033012264,2.695385672235622,-2.2676818225783215,0.5469892985597061,0.8577397897275817,19.70924528301887,23.77777777777778,4.068532494758909,17.07622641509434,18.864259259259256,1.788032844164917,57.47660377358493,55.939074074074085,-1.5375296995108414,85.42320754716982,86.29000000000002,0.8667924528301967,9.799521006127534,12.028444509423613,2.2289235032960786,12.41658083201042,13.953218291721528,1.536637459711109,2.6330188679245285,4.913518518518519,2.28049965059399,-2.6170598258828868,-1.9247737822979156,0.6922860435849711,6.814406005605955,3.245161068439982,3.4692748796123216,1.9746636854095319,9.319999999999999,3.330000000000002,-0.7899999999999991,5.29633407222642,0.9511718023215301,-0.9400389220625768,0.9639778435746637,0.0,1.0,0.0,4.18053546099291,4.18053546099291,-1.5848617021276539,0.0,,False
2026-03-03 101220_seal_heated,Serial Data Log,W0002,2026-03-03 11:00:00,2026-03-03 13:00:00,2026-03-03 12:00:00,热源启动窗口,heat_related,ext_high_hum_with_heat,1.0,no_transition,seal,有,,24.94391666666667,1.5784229422413492,2.702938630612585,19.730166666666666,1.132622437281804,1.9475758461304833,55.59258333333334,0.4930909129758768,-0.8339075335655196,86.03250000000001,0.3617470447284232,-0.4302576109454717,12.793297248369731,1.0144944460541276,1.7434913529641143,14.656601344153936,0.9269485506527786,1.5904868295145396,5.21375,0.45175858522858314,0.7553627844820977,-1.8633040957842024,0.09375222223475811,0.15300452344956983,23.59883333333333,26.289,2.69016666666667,18.753999999999998,20.706333333333337,1.952333333333339,56.00450000000001,55.18066666666666,-0.8238333333333472,86.25316666666667,85.81183333333335,-0.4413333333333185,11.92320292817401,13.663391568565457,1.7401886403914464,13.858594299015598,15.454608389292275,1.596014090276677,4.844833333333333,5.582666666666667,0.7378333333333345,-1.9353913708415886,-1.7912168207268162,0.14417455011477243,3.3362896693500015,2.157748746274011,2.010204268735088,1.5035247624932222,5.510000000000002,3.8299999999999983,-1.7600000000000051,3.5135785558743233,0.998504346958808,0.5466473500132559,0.9994017363198565,0.0,1.0,0.0,2.690166666666663,2.690166666666663,-0.823833333333333,0.0,,False
2026-03-03 101220_seal_heated,Serial Data Log,W0003,2026-03-03 12:00:00,2026-03-03 14:00:00,2026-03-03 13:00:00,复杂耦合工况,complex_coupled,ext_high_hum_with_heat,1.0,no_transition,seal,有,,27.209583333333338,1.0730435750730731,1.8408748703649003,21.366333333333333,0.7746096152400956,1.3219781729182014,54.978500000000004,0.2407085130096031,-0.4066974202834491,85.135,0.8067905083537783,-1.3754640324602643,14.339856963321333,0.7857199395679709,1.3506026781099834,15.93548991504698,0.565373592935455,0.9575611086525093,5.843249999999999,0.30244705766311514,0.5188966974467115,-1.5956329517256465,0.23596475300556327,0.39304156945746843,26.289,28.130166666666664,1.8411666666666626,20.706333333333337,22.026333333333337,1.3200000000000003,55.18066666666666,54.77633333333333,-0.40433333333332655,85.81183333333335,84.45816666666666,-1.3536666666666974,13.663391568565457,15.01632235807721,1.3529307895117526,15.454608389292275,16.416371440801687,0.9617630515094113,5.582666666666667,6.103833333333332,0.521166666666665,-1.7912168207268162,-1.4000490827244763,0.39116773800233995,2.157748746274011,1.5397866418154145,1.5035247624932222,1.1969339159884114,3.719999999999999,2.650000000000002,-0.8100000000000023,2.7220895824137674,0.9985494323306082,0.95739240178555,0.9919783361032594,0.0,1.0,0.0,1.8411666666666662,1.8411666666666662,-0.40433333333333366,0.0,,False
2026-03-03 101220_seal_heated,Serial Data Log,W0004,2026-03-03 13:00:00,2026-03-03 15:00:00,2026-03-03 14:00:00,复杂耦合工况,complex_coupled,ext_high_hum_with_heat,1.0,no_transition,seal,有,,28.819916666666664,0.8010607419696274,1.3788505251231384,22.470916666666668,0.5226130143280953,0.9002849913043373,54.662166666666664,0.13414643531023268,-0.22837945678198251,83.69766666666668,0.8822304938380358,-1.5128204227042432,15.570462786545852,0.6426048326808113,1.1070209937590747,16.69091406324515,0.32681469929016904,0.5612937043448595,6.349000000000001,0.2804210519674916,0.4785655338187968,-1.1204512766992958,0.3188413501176553,0.5457272894142187,28.130166666666664,29.509666666666664,1.3795000000000002,22.026333333333337,22.915499999999998,0.8891666666666609,54.77633333333333,54.548,-0.22833333333333172,84.45816666666666,82.93716666666667,-1.5209999999999866,15.01632235807721,16.124603215014496,1.1082808569372862,16.416371440801687,16.96545668568861,0.5490852448869248,6.103833333333332,6.594166666666668,0.49033333333333573,-1.4000490827244763,-0.8408534706741155,0.5591956120503607,1.5397866418154145,1.2147456325449646,1.1969339159884114,1.0101150066767552,2.710000000000001,1.8099999999999987,-0.4299999999999997,2.1777380172350114,0.9986828578314718,0.9844771833872956,0.9953898070201506,0.0,1.0,0.0,1.3795000000000002,1.3795000000000002,-0.22833333333333172,0.0,,False
2026-03-03 101220_seal_heated,Serial Data Log,W0005,2026-03-03 14:00:00,2026-03-03 16:00:00,2026-03-03 15:00:00,复杂耦合工况,complex_coupled,ext_high_hum_with_heat,1.0,no_transition,seal,有,,30.05625,0.6352926441392809,1.093791370172349,23.33083333333333,0.47723923027467596,0.821383643007161,54.47558333333333,0.08659570732207629,-0.14490173461681385,82.26225,0.8088901645584069,-1.3841384174314695,16.593604273339594,0.544496546582677,0.9381235004212932,17.232142118938846,0.30317465465950805,0.5166708525009591,6.725416666666667,0.1600047049378266,0.2724077271651945,-0.6385378455992521,0.24716974825484467,0.42145264792033454,29.509666666666664,30.60283333333333,1.093166666666665,22.915499999999998,23.746166666666664,0.8306666666666658,54.548,54.40316666666668,-0.14483333333332382,82.93716666666667,81.58733333333335,-1.3498333333333221,16.124603215014496,17.06260533166469,0.9380021166501962,16.96545668568861,17.498827552189077,0.5333708665004657,6.594166666666668,6.856666666666667,0.2624999999999993,-0.8408534706741155,-0.4362222205243887,0.40463125014972684,1.2147456325449646,0.9770213948319006,1.0101150066767552,0.86724695903151,2.1700000000000017,1.5799999999999983,-0.28999999999999915,1.85615884001089,0.9989764982616288,0.9525487514171025,0.9913476154444306,0.0,1.0,0.0,1.0931666666666686,1.0931666666666686,-0.14483333333333093,0.0,,False
2026-03-03 101220_seal_heated,Serial Data Log,W0006,2026-03-03 15:00:00,2026-03-03 17:00:00,2026-03-03 16:00:00,复杂耦合工况,complex_coupled,ext_high_hum_with_heat,1.0,no_transition,seal,有,,30.979099099099095,0.47822313078453543,0.8897490347490445,24.026396396396397,0.35663271861523876,0.6639750789750866,54.36081081081081,0.05661890360736655,-0.10023517023514122,81.04549549549549,0.7039314774745659,-1.2871200421199744,17.40149317044338,0.430004935905748,0.8002459473774531,17.661804420734025,0.2089768522279268,0.3855191131221846,6.9527027027027035,0.12331737285222394,0.22577395577396034,-0.260311250290642,0.22689205126883846,0.414726834255271,30.563272727272732,31.3875,0.824227272727267,23.718,24.329285714285714,0.6112857142857138,54.406909090909096,54.315535714285716,-0.09137337662338041,81.65927272727272,80.44267857142857,-1.2165941558441489,17.027147134213976,17.769154456025834,0.7420073218118581,17.486269354111073,17.834204932595856,0.3479355784847833,6.845272727272729,7.0582142857142856,0.21294155844155682,-0.45912221989709295,-0.06505047657002054,0.3940717433270724,0.9853679653680065,0.7915242652084585,0.8721251276384995,0.720908910365654,1.620000000000001,1.240000000000002,-0.18999999999999773,1.4527704951737412,0.9987600525420981,0.9309247314061981,0.9853852790625901,0.0,1.0,0.0,0.8189313725490202,0.8189313725490202,-0.09218627450980676,0.0,,False
2026-03-13 080032_unseal_heated,Serial Data Log,W0001,2026-03-13 08:00:00,2026-03-13 10:00:00,2026-03-13 09:00:00,外部高湿驱动工况,candidate_high_info,ext_high_hum_with_heat,0.0,no_transition,unseal,有,,13.721166666666669,0.026351959515529832,-0.03944659440785018,13.415666666666668,0.016021693976329143,-0.02050296020968829,59.863583333333324,0.039232036157512785,0.060400167716245776,96.63075000000002,0.026825376797655155,0.03512764312770928,7.095094189283537,0.008409994698556756,-0.010068424365893988,11.23919287727937,0.009807046057659027,-0.01013443180982131,0.3055000000000001,0.019654580153450497,-0.01894363419816336,-4.144098687995833,0.009713805949024015,6.600744392885138e-05,13.741000000000001,13.701333333333336,-0.03966666666666541,13.425166666666662,13.406166666666666,-0.018999999999996575,59.83283333333335,59.89433333333333,0.061499999999981014,96.61366666666666,96.64783333333331,0.0341666666666498,7.100111207032583,7.09007717153449,-0.010034035498093452,11.243794428460061,11.234591326098672,-0.009203102361389881,0.3158333333333336,0.2951666666666667,-0.02066666666666689,-4.143683221427479,-4.144514154564186,-0.0008309331367071238,-0.04623430541725545,-0.031375382050567786,-0.01419755209224627,-0.006153846443242443,-0.0600000000000005,-0.05000000000000071,0.1699999999999946,-0.006047664861137392,0.6688937379096993,0.6545774332363902,0.4398071981260493,0.0,1.0,0.0,-0.03966666666666718,-0.03966666666666718,0.061499999999995225,0.0,,False
2026-03-13 080032_unseal_heated,Serial Data Log,W0002,2026-03-13 09:00:00,2026-03-13 11:00:00,2026-03-13 10:00:00,热源启动窗口,heat_related,ext_high_hum_with_heat,1.0,no_transition,unseal,有,,15.189579831932774,1.9639092780653484,3.011411971164081,13.778571428571428,0.5095433078420183,0.7699510667676995,61.746218487394955,2.0572365006618276,2.8400949426283284,96.87260504201679,0.34871546894201155,0.481924352372903,8.080026891381921,1.214080982414585,1.9079352338468787,11.528142081637972,0.40491460774600474,0.6113107917012329,1.4110084033613446,1.4621254525217173,2.2414609043963862,-3.4481151902560496,0.8231565972082349,1.2966244421456459,13.701525423728816,16.652833333333334,2.951307909604518,13.406101694915252,14.144833333333334,0.7387316384180824,59.893559322033894,63.56799999999999,3.6744406779660963,96.64762711864405,97.09383333333335,0.44620621468929755,7.090069439124069,9.053485052768812,1.9634156136447425,11.234522333260362,11.816868167542616,0.5823458342822541,0.2954237288135594,2.5080000000000005,2.212576271186441,-4.144452894136296,-2.763383114773807,1.3810697793624889,-0.03180596142608334,6.178638301846127,-0.0065201431170577116,3.353474130503235,5.609999999999998,1.5899999999999999,3.019999999999996,3.350807196770303,0.9886926475166076,0.6019697899465811,0.9767731872549577,0.0,1.0,0.0,3.0017175141242944,3.0017175141242944,3.7351581920903953,0.0,,False
2026-03-13 080032_unseal_heated,Serial Data Log,W0003,2026-03-13 10:00:00,2026-03-13 12:00:00,2026-03-13 11:00:00,热源启动窗口,heat_related,ext_high_hum_with_heat,1.0,no_transition,unseal,有,,18.857983193277313,2.5613008413138703,4.361488701708356,15.041764705882354,1.0045081831076388,1.7414859261491606,62.799747899159655,1.2227743269101765,-1.414058532776098,97.21697478991598,0.31028569290812014,0.24201798602109242,10.225801001051336,1.3685739775756007,2.3249764471076904,12.513662777696315,0.7806529405820283,1.3537851605652336,3.8162184873949583,1.5917174348912169,2.6200027755591933,-2.2878617766449785,0.6247801799435757,0.9711912865424561,16.70305084745763,20.977,4.273949152542372,14.157288135593221,15.911499999999997,1.7542118644067752,63.629491525423724,61.98383333333334,-1.6456581920903872,97.10118644067796,97.33083333333333,0.2296468926553672,9.086755420040328,11.345862489045494,2.2591070690051662,11.82666827371183,13.189207373281059,1.3625390995692293,2.5457627118644073,5.065500000000001,2.5197372881355937,-2.7399128536715036,-1.843344884235563,0.8965679694359405,6.190424704823191,2.9466185051403246,3.3225497290761044,1.6625036492650809,8.610000000000001,3.289999999999999,1.4300000000000068,5.024893971608285,0.9786304852330616,-0.1526121050142846,0.9790809107615441,0.0,1.0,0.0,4.273949152542368,4.273949152542368,-1.6456581920903872,0.0,,False
2026-03-13 080032_unseal_heated,Serial Data Log,W0004,2026-03-13 11:00:00,2026-03-13 13:00:00,2026-03-13 12:00:00,热源启动窗口,heat_related,ext_high_hum_with_heat,1.0,no_transition,unseal,有,,22.144833333333334,1.372657352467437,2.349570609764845,16.628583333333335,0.8329055106288195,1.4314447474949183,61.44258333333334,0.6445485630579404,-1.0923616210337594,96.57116666666667,0.9532784503604229,-1.5446650620325875,12.046564416442955,0.818687637881911,1.4064243962520833,13.668865833041691,0.5597524197923702,0.9511326650231787,5.51625,0.542293700851479,0.9181258622699228,-1.6223014165987344,0.26603709281757915,0.45529173122890376,20.977,23.312666666666665,2.335666666666665,15.911499999999997,17.345666666666666,1.4341666666666697,61.98383333333334,60.90133333333334,-1.082499999999996,97.33083333333333,95.81150000000001,-1.5193333333333214,11.345862489045494,12.747266343840417,1.401403854794923,13.189207373281059,14.148524292802325,0.9593169195212656,5.065500000000001,5.9670000000000005,0.9014999999999995,-1.843344884235563,-1.401257948961906,0.44208693527365717,2.9466185051403246,1.836148043490467,1.6625036492650809,1.180586269001061,4.800000000000001,2.83,-2.25,2.848048804548391,0.9987971564967741,0.8626865820697165,0.995932147500281,0.0,1.0,0.0,2.3356666666666683,2.3356666666666683,-1.0825000000000031,0.0,,False
