feature,near_mean,non_near_mean,diff
delta_in_hum,1.5999999999999999,0.8465546218487395,0.7534453781512603
delta_half_in_hum,0.793335513749775,0.4216029040474599,0.37173260970231503
max_hourly_hum_rise,0.4043735632183917,0.08388058240159654,0.3204929808167951
std_out_hum,0.3970165959737625,0.14519170177962742,0.25182489419413506
corr_AH,0.8216054151417456,0.7435023548219071,0.07810306031983849
slope_AH_in,0.00878312345965881,0.005984207175799577,0.0027989162838592324
delta_half_dAH,0.01615026459721664,0.03304922129222165,-0.01689895669500501
mean_dAH,-4.539451193662007,-4.404653546698704,-0.1347976469633032
mean_out_hum,93.89554329181482,94.81732457290555,-0.9217812810907304
