file,sheet,status,device_id,seal_state,ext_level,in_level,heat_state,change_type,change_ts,initial_role,post_role,start_ts,end_ts,duration_h,change_in_range,pre_hours,post_hours,n_points,n_windows,dominant_label,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,internal_moisture_ratio,complex_ratio,window_label_counts,mean_out_h,mean_dT,mean_dAH,mean_dH,delta_end_in_h,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,2026-03-17 152727,ok,120165519,sealed,low,high,heat_on,seal_change_to_unsealed,2026-03-15 15:00:00,internal_moisture_control,internal_moisture_control,2026-03-13 11:18:11,2026-03-17 15:00:25,99.70388888888888,True,51.69694444444445,48.00694444444444,5434,90,内部积湿工况,0.0,0.0,0.0,1.0,0.0,"{""内部积湿工况"": 90}",50.649006256901,2.7065863084284136,7.420274060976104,38.81340449024659,1.1700000000000017,0.21551711446448962,-0.5146320643524449,0.0039696424121942,-0.00863591687500469,2.372844539558459,0.6827198998494763,1.0,1.5564590428056553,0.3325709445844028,2.0
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,Serial Data Log,ok,120165524,sealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-02 16:13:51,2026-03-03 09:42:15,17.473333333333333,False,,,1049,7,外部高湿驱动工况,1.0,0.0,0.0,0.0,0.0,"{""外部高湿驱动工况"": 7}",80.90816015252622,-0.6948999046711154,-4.2121693117821835,-24.139933269780748,-2.8699999999999974,-1.1368899309341955,-0.30387473870645554,-0.14238556390906723,-0.04534849673080803,-4.453225531235083,0.9579009734631694,0.0,0.41766653523253455,-0.6796397671673593,0.0
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,Serial Data Log,ok,120165524,unsealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-03 18:12:41,2026-03-04 09:25:06,15.206944444444444,False,,,913,5,外部高湿驱动工况,0.8,0.2,0.0,0.0,0.0,"{""冷却窗口"": 1, ""外部高湿驱动工况"": 4}",88.56181818181818,0.4385432639649507,-3.9811571374704875,-31.052935377875137,2.3400000000000034,0.6159506123075715,-0.33986932930831726,0.09079355079913945,-0.0626501669609944,-3.8953505362475385,-0.5472368127867813,5.0,0.17701507095625685,0.985558253053903,0.0
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,Serial Data Log,ok,120165524,sealed,high,low,heat_off,seal_change_to_unsealed,2026-03-04 16:39:00,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-04 12:00:07,2026-03-06 09:19:30,45.323055555555555,True,4.648055555555556,40.675,2716,35,外部高湿驱动工况,1.0,0.0,0.0,0.0,0.0,"{""外部高湿驱动工况"": 35}",92.5968409425626,0.010342415316642128,-4.188053471574718,-34.35921207658321,4.909999999999997,1.993519882179676,0.14840026940992423,0.09040531056397347,0.006910061154752303,-0.4686239009010391,0.6706088393955831,2.0,0.4100999690990388,0.9584856215667793,4.0
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,Serial Data Log,ok,120165524,sealed,high,low,heat_off,no_change,,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-06 16:04:15,2026-03-08 10:22:27,42.303333333333335,False,,,2539,32,外部高湿驱动工况,1.0,0.0,0.0,0.0,0.0,"{""外部高湿驱动工况"": 32}",88.45334777471444,0.3872784560850729,-4.690079421753389,-38.53826703426545,6.020000000000003,2.2647777591630813,0.32888419194442076,0.11234316999522011,0.016538736586311525,-2.473507676087391,0.7246604476789773,1.0,0.3027590808755177,0.8645664110150036,0.0
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,Serial Data Log,ok,120165524,sealed,high,low,heat_off,seal_change_to_unsealed,2026-03-10 10:00:00,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-08 17:21:48,2026-03-13 09:59:33,112.62916666666666,True,40.63666666666666,71.9925,6746,102,外部高湿驱动工况,1.0,0.0,0.0,0.0,0.0,"{""外部高湿驱动工况"": 102}",95.30633857100504,0.2551037651941892,-4.4891864666245835,-39.84255410613697,8.309999999999995,5.006388971242217,0.24736304733624603,0.08361688701759509,0.0039036070077679585,0.44145964106599767,0.9041764426146455,1.0,0.6235567215945915,0.35260177950143207,0.0
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,Serial Data Log,ok,120165524,unsealed,high,low,heat_off,heat_on,2026-03-13 10:01:00,mainfield_extHigh_intLow_noHeat,highhum_heated,2026-03-13 08:00:32,2026-03-14 17:03:18,33.04611111111111,True,2.0077777777777777,31.038333333333334,1981,23,热源稳定工况,0.0,0.8695652173913043,0.0,0.0,0.13043478260869565,"{""热源启动窗口"": 7, ""复杂耦合工况"": 3, ""热源稳定工况"": 13}",88.83113074204948,6.442917718324079,-0.32147617383483157,-29.273997980817782,-0.6400000000000006,-0.8958277222273097,1.6016811893408767,-0.0603761397332326,0.10710487043396164,4.81836971653283,0.9241618231320633,0.0,1.6880330798698056,0.4211960197561182,0.0
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,Serial Data Log,ok,120165524,sealed,high,low,heat_off,heat_on,2026-03-17 18:30:00,mainfield_extHigh_intLow_noHeat,highhum_heated,2026-03-17 18:06:00,2026-03-18 09:10:14,15.070555555555556,True,0.4,14.670555555555556,906,5,热源启动窗口,0.0,1.0,0.0,0.0,0.0,"{""热源启动窗口"": 5}",88.3203752759382,8.653774834437085,1.7139860689409516,-29.112273730684343,-0.720000000000006,-0.4378807947019965,2.888613348385461,-0.06589383936898238,0.3805339669202806,6.798576609371706,0.9605475427768633,6.0,0.7093544401879149,-0.027197164780651387,5.0
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,Serial Data Log,ok,120165524,sealed,high,low,heat_off,seal_change_to_unsealed,2026-03-24 09:00:00,mainfield_extHigh_intLow_noHeat,mainfield_extHigh_intLow_noHeat,2026-03-23 21:35:24,2026-03-26 14:23:43,64.80527777777777,True,11.41,53.39527777777778,3889,55,外部高湿驱动工况,1.0,0.0,0.0,0.0,0.0,"{""外部高湿驱动工况"": 55}",96.03270249421445,-0.04491900231421966,-3.4091487373652405,-23.918513756749817,8.420000000000002,5.171893276524145,0.49060355748388496,0.15800550676008424,0.013257511670664478,-0.20715657755178718,0.4622216620089732,3.0,0.6238187957992062,0.09655171532038145,6.0
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,2026-03-26 100101,ok,120165520,unsealed,eq,low,heat_on,ext_humidity_up,2026-03-23 15:45:00,other,highhum_heated,2026-03-23 12:00:48,2026-03-23 20:06:04,8.087777777777777,True,3.736666666666667,4.351111111111111,456,0,,,,,,,{},50.584583333333335,22.72572368421053,3.3292676876749683,-30.302609649122807,4.800000000000001,3.877982456140348,-0.46184632483701815,0.8560173099371917,-0.009394493466477806,1.5502338971440643,,,,,
