file,event_start,event_end,event_duration_h,peak_time,peak_window_id,peak_transition_phase,peak_score_v3,peak_smooth_score_v3,peak_rank_pct_v3,upper_threshold,lower_threshold,event_window_count,near_overlap_windows,pre_context_windows,post_context_windows,overlaps_near_transition,peak_in_near_transition,lead_hours_before_near_start,tail_hours_after_near_end,peak_delta_in_hum,peak_delta_half_in_hum,peak_max_hourly_hum_rise,peak_corr_AH,final_status,primary_evidence,risk_level,primary_segment_id
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,2026-03-04 12:00:00,2026-03-05 08:00:00,20.0,2026-03-04 12:00:00,W0001,near_transition,5.13826974026837,4.61198887188403,1.0,1.9562100109377163,0.7824840043750866,9,5,0,4,True,True,0.0,4.0,2.460000000000001,1.1434646986508241,0.4273333333333298,-0.4129809277823179,transition_boost_alert,transition_branch+multiview,high,S001
2026-03-08 172014_seal_unheated,2026-03-09 23:00:00,2026-03-11 19:00:00,44.0,2026-03-10 08:00:00,W0040,near_transition,2.7260423296641405,2.686615271889215,1.0,0.9115932258180497,0.3646372903272199,33,12,0,21,True,True,-1.0,21.0,2.039999999999999,1.051027777777776,0.45016666666666794,0.9905187155181728,transition_boost_alert,transition_branch+multiview,high,S002
