segment_id,run_id,segment_name,segment_role,segment_source,segment_hours,segment_analyzable,segment_seal_state,primary_task,secondary_tasks,static_bucket,final_assessment_v1,raw_label_v1,raw_confidence_v1,prototype_margin_v1,transition_bucket,transition_recommended_use,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,support_status_v2,support_risk_v2,support_reason_v2,needs_review_v2,best_lag_level_hum,corr_headroom_in_hum,corr_out_hum_in_hum,late_rh_gain_per_out,max_corr_level_hum,best_lag_rh_h,early_ah_resp_ratio,best_lag_dew_h,corr_dew_gap_in_dew,dew_gap_area_pos,end_start_dAH,headroom_gain_ratio,late_minus_early_rh_gain,max_corr_level_ah,max_corr_level_dew,ah_neg_response_ratio,dew_headroom_capture_ratio,dew_neg_response_ratio,best_lag_h,positive_ah_response_ratio,ah_gap_area_pos,corr_headroom_AH_in,corr_out_dew_in_dew,delta_half_dAH,delta_half_in_h,early_rh_gain_per_out,headroom_area_pos,max_corr_dew_change,slope_dAH_per_h,vpd_in_mean,late_ah_resp_ratio,max_corr_dAH_change,max_corr_outRH_inRH_change,ah_ingress_r2,ah_ingress_slope,dew_ingress_r2,dew_ingress_slope,ah_gap_q90,best_lag_level_ah,best_lag_level_dew,corr_out_AH_in_AH,mean_dT,positive_drive_ratio,vpd_gap_mean,early_dew_gain_per_out,gain_ratio_dAH_change,amp_in_hum_p90_p10,dew_gap_mean,dew_gap_q90,late_ah_decay_per_headroom,late_minus_early_vpd_gap,mean_dAH,slope_in_h_per_h,std_in_hum_run,ah_pos_gain_per_area,dew_pos_gain_per_area,late_dew_gain_per_out,amp_AH_in_p90_p10,amp_dew_in_p90_p10,amp_headroom_p90_p10,std_AH_in_run,std_dew_in_run,late_minus_early_dew_gain,predicted_memory_role_v2,anomaly_advantage_v2,health_only_risk_v2,distance_health_core,distance_anomaly_reference,distance_hard_negative,guard_feature_score_v3,support_status_v3,support_risk_v3,support_reason_v3,needs_review_v3
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh::pre_change,120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,pre_change,other,ext_humidity_up,3.7316666666666665,False,unsealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na::full,120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,full,highhum_heated,full_run,6.623611111111111,False,sealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat::pre_change,120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,pre_change,mainfield_extHigh_intLow_noHeat,heat_on,2.000277777777778,False,unsealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat::pre_change,120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,pre_change,mainfield_extHigh_intLow_noHeat,heat_on,0.3941666666666666,False,sealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::pre_change,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,pre_change,highhum_heated,heat_off,0.9011111111111112,False,unsealed,short_context_only,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short_context_only,none,segment is too short for analyzable segment-level use and only keeps local context,False
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,full,mainfield_extHigh_intLow_noHeat,full_run,17.473333333333333,True,sealed,static_mainfield_primary,,static_negative_reference,confirmed_negative_reference,negative,high,-3.583852123601325,,,0.3333333333333333,1.0,0.6,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,False,6.0,-0.842147335635269,-0.9318242664403916,-0.1697163318373807,-0.9315596876238988,0.0,0.6,1.0,-0.7319282290083148,103.12322503547333,-4.453225531235083,-0.0209649846314832,0.0139398266111187,0.8507330753347451,0.8646549001089048,0.8235294117647058,0.1764705882352941,0.8235294117647058,0.0,0.1764705882352941,72.03988074063221,-0.2847666900646098,0.8371788743266206,-0.3038747387064555,-1.1368899309341955,-0.1836561584484994,72.03988074063221,0.9580396494916908,-0.045348496730808,0.8966079266504431,0.0,0.9579009734631694,-0.6796397671673593,0.7773583037151657,-0.3716755567351332,0.5440242751292826,-0.32128546686915,4.373238084279983,0.0,0.0,0.8370074289597724,-0.6948999046711154,0.9444444444444444,-0.4772834953096311,0.3214284253098647,0.4176665352325345,2.1240000000000023,6.026193808702245,6.775478224968545,-0.0250546863851216,-0.1200227869506297,-4.2121693117821835,-0.1423855639090672,0.8134095038750092,0.0113871626272493,0.0135519696833785,1.4860110050809314,2.136493835698208,3.8195182443894007,0.4232828014392198,0.7847189688056384,1.4025185334594543,1.1645825797710667,health_core,-76.19181305151277,76.679970170794,76.679970170794,152.87178322230676,150.00957403570382,0.2222222222222222,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,False
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::pre_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,pre_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,40.62722222222222,True,sealed,static_mainfield_primary,transition_context,static_negative_reference,confirmed_negative_reference,watch,low,-0.2729094895893207,transition_primary_mainfield,transition_train_eval_primary,0.5,1.0,0.75,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,False,1.0,0.4598188043466959,0.9961408017695436,0.5869158878504399,0.9997494447241336,6.0,1.0,1.0,0.2551053142752803,333.44693251439793,-0.0107317584831427,0.0001692428986778,-0.2245772902003147,0.9975997405935492,0.997520271694472,0.525,0.475,0.525,1.0,0.475,184.6194520371545,0.85884667807587,0.9590493329655008,-0.0769513241236827,0.5067990712911055,0.8114931780507546,184.6194520371545,0.9732523608050296,-0.0020584414143076,0.7258679011041056,0.0,0.9733239810486336,0.5764063718556377,0.1501161314136248,0.0858546815646955,0.8277911715150092,0.629671875556028,4.693039779503025,1.0,1.0,0.960317888747522,0.2667037494849609,0.975609756097561,-0.6353678104932167,,0.5417184734176023,0.7999999999999972,8.336291134469095,8.390999846363211,-0.0028649222164237,-0.0041902629620282,-4.61521897224729,0.0251252535826129,0.2962369203791106,0.0011242092699961,0.0015212419213341,,0.161207475505047,0.3960946540341474,0.1418143599599908,0.0560662925426949,0.1366665020762986,,hard_negative,-5.376896573991209,76.67997017079401,76.67997017079401,11.12191453484943,5.745017960858222,0.23333333333333334,static_negative_reference_support,none,segment remains a clean static negative reference in the main battlefield,False
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,post_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,40.64361111111111,True,unsealed,static_mainfield_primary,transition_context,static_positive_reference,confirmed_positive_reference,positive,high,2.17268852963471,transition_primary_mainfield,transition_train_eval_primary,0.6666666666666666,1.0,0.4,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False,0.0,-0.9100181104328396,0.9960731159815612,1.335686274509737,0.9963938273862604,0.0,0.8,1.0,0.7660847111179051,283.270033419704,0.2770429809484653,-0.0016801849911914,0.6160467379627498,0.9830263846295392,0.9858631562910576,0.6829268292682927,0.3170731707317073,0.6829268292682927,1.0,0.3170731707317073,171.51432011025332,0.9164891995621895,0.9761961569216268,0.1478760155851457,1.595874467112246,0.7196395365469873,171.51432011025332,0.9606285203949512,0.0090619572424618,0.6673454503888749,0.0,0.96135249067962,0.9059930037627966,0.0304398512092104,0.0273785362304286,0.1176015774472635,0.1362786760338808,4.386159714887315,1.0,1.0,0.9724865491684604,-0.011410414104141,0.9761904761904762,-0.5537676971731335,0.679191626827748,0.4827035915760118,2.559999999999995,6.907555049009184,7.029460227780661,-0.0035443600321198,0.0547736892239889,-4.1836086208536845,0.0796172698386521,0.9449630772474866,0.001154953146111,0.0014336063324727,,0.2928999027175578,0.6552843363072585,0.3587857676249397,0.104949767178945,0.2356641817221818,,anomaly_reference,3.530060826610048,76.72459592507265,76.72459592507265,3.2654332671301103,6.7954940937401584,0.22950819672131148,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,post_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,71.98527777777778,True,unsealed,static_mainfield_primary,transition_context,static_positive_reference,confirmed_positive_reference,positive,high,3.260552755338076,transition_primary_mainfield,transition_train_eval_primary,1.0,0.0,0.4,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False,0.0,-0.916020728825381,0.9908212391624116,4.80106100795773,0.9936248872887996,0.0,1.0,1.0,-0.9688502213069872,529.8296218486065,0.4484435064896157,0.0032519237533467,2.940124599851468,0.9533354188565744,0.9548777698020856,0.2535211267605634,0.7323943661971831,0.2676056338028169,1.0,0.746031746031746,313.780452215844,-0.8476638955512444,0.9376740009742844,0.2215958694453386,3.1603951718045096,1.8609364081062625,313.780452215844,0.96681061691858,0.0060226831083071,0.6695293290462839,0.0,0.967951951903653,0.7561789094099997,0.4722333223188433,0.0872603908728528,0.429812605353558,0.062029879716896,4.603452845672455,2.0,2.0,0.935860767543122,0.2485853206760824,0.875,-0.6089961053694077,1.0845531334876746,0.5790646134433108,5.072000000000003,7.463171386666523,8.150465928732402,-0.0029720564996772,0.0437960521353796,-4.4183643107676005,0.0885856793772571,1.859859648887262,0.0036500860917103,0.0048122516833002,0.6665005423812306,0.8470928707062146,1.845400365227208,0.3412778484612389,0.3073220990221377,0.6735443915076527,-0.418052591106444,anomaly_reference,6.546318126524227,76.95748287885908,76.95748287885908,3.744398817764191,10.290716944288418,0.5873015873015873,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,post_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,53.38583333333333,True,unsealed,static_mainfield_primary,transition_context,static_positive_reference,confirmed_positive_reference,positive,high,3.6585099109349697,transition_primary_mainfield,transition_train_eval_primary,0.6666666666666666,0.0,0.6,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False,2.0,-0.973686487197209,0.962520649088017,4.555696202531986,0.9697905192313496,6.0,1.0,2.0,-0.9489582027990512,229.0615313201655,0.6751575255558766,0.0084554559446037,2.916660784295348,0.8345994269405272,0.8351286569090738,0.2075471698113207,0.7735849056603774,0.2264150943396226,2.0,0.7872340425531915,177.0877999931516,-0.9043149703590558,0.820009424141448,0.3863744199435075,3.627490636704124,1.6390354182366382,177.0877999931516,0.9270438557300884,0.0154094507346829,0.507962004755784,0.8,0.9287314819961,0.6758111065096494,0.4367879154961674,0.0712150633337826,0.4409419772588251,0.0695635063968226,3.776416603526693,1.0,1.0,0.8205201633691354,-0.0543757802746567,0.8703703703703703,-0.4414108690220601,1.0941089277750966,0.7356976236479598,6.086999999999989,4.325550549479134,5.06783043416094,0.0100949145827874,0.096037114446957,-3.3455995902515654,0.1394416358135871,2.226444533556796,0.0089253899060976,0.0105026281849642,0.8297771980742539,1.047940903447662,1.5669833316856678,0.692194961020189,0.3895251514615615,0.5845854517072863,-0.2643317297008427,anomaly_reference,2.544205955031874,74.65136814789764,74.65136814789764,8.17306939460252,10.717275349634392,0.7142857142857143,static_positive_reference_support,high,segment remains a clean static positive reference in the main battlefield,False
