run_id,run_support_status_v3,run_support_risk_v3,primary_segment_id_v3,primary_segment_name_v3,primary_task_v3,guard_feature_score_v3,weak_positive_support_score_v2,memory_role_v2,anomaly_advantage_v2,support_reason_v3,needs_review_v3,review_segment_count_v3,segment_status_counts_v3
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,static_review_weak_positive_guarded,watch,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,full,static_eval_only,0.5409836065573771,1.0,hard_negative,-5.475595361803923,"weak positive keeps local support but does not pass cross-dataset hard-negative guard; guard=0.54, memory=hard_negative, anomaly_adv=-5.48",True,1,"{""static_review_weak_positive_guarded"": 1}"
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,static_watch_breathing_hardguard,watch,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,full,control_challenge,0.4098360655737705,0.1666666666666666,hard_negative,-0.8332071362963216,breathing watch is reinforced by tri-memory hard_negative with anomaly_adv -0.83 and suppression 1.00,True,1,"{""static_watch_breathing_hardguard"": 1}"
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,static_watch_confound_hardguard,watch,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,post_change,control_challenge,0.47619047619047616,0.3333333333333333,hard_negative,-6.7632667614650614,confound watch is reinforced by tri-memory hard_negative with anomaly_adv -6.76 and reject score 1.00,True,1,"{""short_context_only"": 1, ""static_watch_confound_hardguard"": 1}"
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,transition_primary_support,high,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,post_change,static_mainfield_primary,0.22950819672131148,0.6666666666666666,anomaly_reference,3.530060826610048,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,transition_primary_support,high,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,post_change,static_mainfield_primary,0.5873015873015873,1.0,anomaly_reference,6.546318126524227,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,0,"{""static_negative_reference_support"": 1, ""static_positive_reference_support"": 1}"
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,transition_primary_support,high,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,post_change,static_mainfield_primary,0.7142857142857143,0.6666666666666666,anomaly_reference,2.544205955031874,run contains a mainfield seal-to-unsealed transition and should stay transition-led,True,1,"{""static_positive_reference_support"": 1, ""transition_primary_support"": 1}"
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,transition_secondary_control,watch,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_context,,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,transition_secondary_control,watch,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,post_change,transition_context,,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,transition_secondary_control,watch,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,post_change,transition_context,,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,transition_secondary_control,watch,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,post_change,transition_context,,,,,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True,2,"{""transition_secondary_control"": 2}"
