feature,auc_unsealed_vs_strict,direction,strict_median,unsealed_median
late_minus_early_rh_gain,0.7302631578947368,pos,-0.22826650224820005,0.35468178800603556
late_minus_early_dew_gain,0.6386554621848739,neg,0.0,-0.6067964622777913
early_dew_gain_per_out,0.625,pos,0.458792424317257,1.1985527888688925
late_minus_early_vpd_gap,0.5833333333333334,neg,0.2575264158151016,0.27771056828053187
delta_half_in_h,0.5657894736842105,neg,0.9266088154269951,0.2036123277258035
slope_in_h_per_h,0.5394736842105263,neg,0.06059515337973066,0.044576942160113917
max_corr_outRH_inRH_change,0.5238095238095238,neg,0.4270803554095692,0.7178791218457862
late_dew_gain_per_out,0.5210084033613446,neg,0.47352308964367806,0.4589453018692088
