archive,inner_path,subgroup,file,sheet,positive_vote_ratio,distance_to_positive_centroid,distance_to_negative_centroid,margin_positive_minus_negative,projection_status_v2,delta_half_in_h__value,early_dew_gain_per_out__value,late_dew_gain_per_out__value,late_minus_early_dew_gain__value,late_minus_early_rh_gain__value,late_minus_early_vpd_gap__value,max_corr_outRH_inRH_change__value,slope_in_h_per_h__value
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/2025-10-19 172427.xlsx,sealed_no_screw_grease,2025-10-19 172427,Serial Data Log,0.5,7.541171650573737,9.027767133451901,1.4865954828781636,old_ambiguous,0.01999999999999602,,,,,,,0.8403509740070426
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/2025-10-18 095006.xlsx,sealed_no_screw_grease,2025-10-18 095006,Serial Data Log,0.5714285714285714,23.43077779720501,23.975380008319473,0.5446022111144622,old_ambiguous,-5.4608758745204256,2.552598315422022,-1.2789610874515829,-3.831559402873605,0.18512362121183296,0.8451187485941798,,-1.777427530533383
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/2025-10-18 165216.xlsx,sealed_no_screw_grease,2025-10-18 165216,Serial Data Log,0.625,27.145972365902736,26.579241732050463,-0.5667306338522735,old_ambiguous,4.711707317073191,2.8840965195023274,1.3484641378580784,-1.535632381644249,0.12329400380040204,-1.9345826447235266,0.9329851043336245,0.5939189965234666
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/2025-10-17 124329.xlsx,sealed_no_screw_grease,2025-10-17 124329,Serial Data Log,0.125,6.352835625583389,5.469523240113065,-0.8833123854703242,old_negative_like,0.1583535305057211,0.5625417278775294,0.5970668144347527,0.034525086557223306,0.07505228830548515,-0.3942858361913596,0.5401533762541417,0.07800606061085845
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/温度40、湿度40 2025-10-14 18-26-54.xlsx,sealed_no_screw_grease,温度40、湿度40 2025-10-14 18-26-54,Serial Data Log,0.375,35.03017199835414,34.10131605752573,-0.9288559408284129,old_negative_like,0.29401155072515905,4.531820170564778,1.5808816974100284,-2.95093847315475,-0.09425351100016222,-2.4994122309856928,0.8902883580629801,-0.04599170020406954
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/B1_2025-10-15 174258.xlsx,sealed_no_screw_grease,B1_2025-10-15 174258,Serial Data Log,0.0,17.68150852206102,14.76625303251482,-2.9152554895461993,old_negative_like,-0.6676545708939727,-0.4584785832842046,3.0005105853013982,3.4589891685856027,0.0680274416149033,-1.1150049661407715,0.3554393126608457,-0.06883575742665447
unsealed.zip,密封状态数据/没拧螺丝和黄油但没打孔/B2_2025-10-16 110757.xlsx,sealed_no_screw_grease,B2_2025-10-16 110757,Serial Data Log,0.8571428571428571,22.347981880331158,25.58826920800417,3.2402873276730126,old_positive_like,4.177393364928918,7.3118209185762915,0.14289272370533848,-7.168928194870953,0.6183536533003825,0.22929739124180804,,1.246807706819231
unsealed.zip,密封状态数据/严格密封/2025-12-15 230921.xlsx,sealed_strict,2025-12-15 230921,Serial Data Log,0.5,24.792577381968112,27.345824984065384,2.5532476020972723,old_ambiguous,0.45553963703552824,5.470060453958554,0.48055127772926576,-4.989509176229288,-0.6342211826471613,1.6457815165070646,0.14063814255672671,-0.15592914495767193
unsealed.zip,密封状态数据/严格密封/2025-12-27 115350.xlsx,sealed_strict,2025-12-27 115350,Serial Data Log,0.3333333333333333,4.8168145290518956,6.690652086164074,1.8738375571121786,old_ambiguous,0.9266088154269951,0.44224584040864945,0.44224584040864945,0.0,0.0,,,0.5209897662200462
unsealed.zip,密封状态数据/严格密封/2025-10-25 095124.xlsx,sealed_strict,2025-10-25 095124,Serial Data Log,0.5,6.3453003172398,8.007965782602898,1.6626654653630988,old_ambiguous,-0.702492957746486,1.880314953991205,,,-0.9122645895446778,0.44092893749230955,0.9974749845194327,-0.09727816729543777
unsealed.zip,密封状态数据/严格密封/2025-12-12 162037.xlsx,sealed_strict,2025-12-12 162037,Serial Data Log,0.5,22.48150565254382,23.979983225186395,1.4984775726425745,old_ambiguous,1.001492246142135,2.8260039806756776,3.5856268605124804,0.7596228798368028,2.186717073187979,1.634659812546845,0.318979733174121,0.09244511193403492
unsealed.zip,密封状态数据/严格密封/2025-11-19 145039.xlsx,sealed_strict,2025-11-19 145039,Serial Data Log,0.2857142857142857,12.114151109443084,13.50310428741793,1.3889531779748463,old_ambiguous,0.02360360360360403,-0.166100252152999,-2.9819739921642734,-2.8158737400112743,-0.1288543610149072,-0.18483354036504682,,0.04195577463259968
unsealed.zip,密封状态数据/严格密封/2025-10-20 111704.xlsx,sealed_strict,2025-10-20 111704,Serial Data Log,0.5714285714285714,25.733859152744543,26.785478434268693,1.0516192815241503,old_ambiguous,5.16227705524399,7.781089285220908,3.767318146603815,-4.013771138617093,0.26030132619789564,-0.9043534143184098,,0.9640407253792475
unsealed.zip,密封状态数据/严格密封/2025-10-27 102843.xlsx,sealed_strict,2025-10-27 102843,Serial Data Log,0.375,10.909337159593285,11.914201213294552,1.004864053701267,old_ambiguous,-0.8543929382821034,-0.8123785850483697,0.09455291882365563,0.9069315038720254,0.04785322779645834,0.7582039668194855,0.993046587291195,-0.08547365091402165
unsealed.zip,密封状态数据/严格密封/2025-12-17 111715.xlsx,sealed_strict,2025-12-17 111715,Serial Data Log,0.125,24.361698064757803,24.886940873742763,0.5252428089849595,old_ambiguous,-0.24334386310042078,-1.845011531916962,1.0215881214978901,2.866599653414852,-3.79431135217751,1.769837601897657,0.17729700376322452,-0.23691470870958833
unsealed.zip,密封状态数据/严格密封/2025-12-18 180011.xlsx,sealed_strict,2025-12-18 180011,Serial Data Log,0.25,12.461018420113119,12.87234800302805,0.4113295829149308,old_ambiguous,1.2448731306648995,-1.6284903794632002,0.5813133081058287,2.209803687569029,-0.26110670993584445,0.8073714459613419,0.18422984478169935,0.03123507678356965
unsealed.zip,密封状态数据/严格密封/2025-12-11 131942.xlsx,sealed_strict,2025-12-11 131942,Serial Data Log,0.42857142857142855,34.225751335876005,32.42546349563047,-1.800287840245538,old_ambiguous,-1.7662675822874903,-10.528579962052772,0.3103835738748846,10.838963535927657,-2.6813895840658533,0.46710117967604137,,0.2062185581376108
unsealed.zip,密封状态数据/严格密封/2025-10-24 131318.xlsx,sealed_strict,2025-10-24 131318,Serial Data Log,0.2857142857142857,8.20197799835201,8.191194443368357,-0.010783554983653687,old_negative_like,-1.3245848375451317,-0.6369732808157986,-0.00519158660555271,0.6317816942102459,-0.30533251343315054,0.3976607070001228,,-0.3103732574655515
unsealed.zip,密封状态数据/严格密封/2026-01-04 165808.xlsx,sealed_strict,2026-01-04 165808,Serial Data Log,0.25,11.690260348369751,10.65101754255749,-1.0392428058122611,old_negative_like,-0.12735571118087563,1.8991164043851003,1.4525635706286801,-0.4465528337564202,0.2718964086782472,-0.7893590103349247,0.7320670460978368,-0.00017644886809970887
unsealed.zip,密封状态数据/严格密封/2025-12-28 120304.xlsx,sealed_strict,2025-12-28 120304,Serial Data Log,0.25,15.04160129520202,13.901534186754038,-1.1400671084479814,old_negative_like,2.427009589133533,0.458792424317257,0.13452416309697543,-0.3242682612202815,-0.22826650224820005,-1.0680835705480767,0.2723596630102107,0.06059515337973066
