time,in_temp,in_hum,out_temp,out_hum,AH_in,AH_out,dT,dRH,dAH
2026-03-09 22:44:53,13.2,53.53,13.61,55.06,6.14374569285269,6.4812511200313265,-0.41000000000000014,-1.5300000000000011,-0.33750542717863663
2026-03-09 22:46:01,13.2,53.51,13.65,55.0,6.141450252653605,6.4901579413694135,-0.45000000000000107,-1.490000000000002,-0.34870768871580893
2026-03-09 22:47:01,13.23,53.5,13.68,54.83,6.151696456788858,6.482060015684689,-0.4499999999999993,-1.3299999999999983,-0.33036355889583113
2026-03-09 22:48:09,13.2,53.53,13.68,54.83,6.14374569285269,6.482060015684689,-0.4800000000000004,-1.2999999999999972,-0.3383143228319989
2026-03-09 22:49:09,13.19,53.53,13.71,54.71,6.139949672909927,6.479829061264905,-0.5200000000000014,-1.1799999999999997,-0.33987938835497733
2026-03-09 22:50:17,13.19,53.52,13.68,54.7,6.138802661949176,6.466691279554122,-0.4900000000000002,-1.1799999999999997,-0.3278886176049465
2026-03-09 22:51:17,13.2,53.53,13.72,54.65,6.14374569285269,6.47670777093506,-0.5200000000000014,-1.1199999999999974,-0.3329620780823701
2026-03-09 22:52:25,13.2,53.52,13.71,54.67,6.1425979727531494,6.475091478328501,-0.5100000000000016,-1.1499999999999986,-0.33249350557535173
2026-03-09 22:53:25,13.2,53.52,13.75,54.65,6.1425979727531494,6.4886758291209805,-0.5500000000000007,-1.1299999999999955,-0.34607785636783106
2026-03-09 22:54:33,13.2,53.53,13.68,54.73,6.14374569285269,6.4702379109688675,-0.4800000000000004,-1.1999999999999957,-0.32649221811617757
2026-03-09 22:55:37,13.18,53.51,13.73,54.65,6.133863089280039,6.4806949886983185,-0.5500000000000007,-1.1400000000000006,-0.3468318994182793
2026-03-09 22:56:41,13.19,53.55,13.73,54.58,6.142243694831433,6.472394007011056,-0.5400000000000009,-1.0300000000000011,-0.3301503121796232
2026-03-09 22:57:41,13.2,53.5,13.76,54.56,6.140302532554062,6.481977042885351,-0.5600000000000005,-1.0600000000000023,-0.3416745103312886
2026-03-09 22:58:49,13.19,53.53,13.71,54.63,6.139949672909927,6.4703538953920985,-0.5200000000000014,-1.1000000000000014,-0.33040422248217105
2026-03-09 22:59:49,13.2,53.52,13.75,54.57,6.1425979727531494,6.479177310066457,-0.5500000000000007,-1.0499999999999972,-0.33657933731330747
2026-03-09 23:00:57,13.22,53.52,13.72,54.58,6.15019471905711,6.468411896388575,-0.5,-1.0599999999999952,-0.3182171773314648
2026-03-09 23:01:58,13.2,53.55,13.73,54.46,6.146041133051776,6.458163752690036,-0.5300000000000011,-0.9100000000000037,-0.31212261963826027
2026-03-09 23:03:05,13.2,53.53,13.71,54.44,6.14374569285269,6.447850376444187,-0.5100000000000016,-0.9099999999999966,-0.3041046835914969
2026-03-09 23:04:05,13.2,53.53,13.73,54.37,6.14374569285269,6.447491061949269,-0.5300000000000011,-0.8399999999999963,-0.30374536909657923
2026-03-09 23:05:13,13.18,53.51,13.71,54.46,6.133863089280039,6.450219167912387,-0.5300000000000011,-0.9500000000000028,-0.3163560786323476
2026-03-09 23:06:13,13.19,53.52,13.72,54.46,6.138802661949176,6.454190397166028,-0.5300000000000011,-0.9399999999999977,-0.31538773521685215
2026-03-09 23:07:21,13.22,53.54,13.71,54.59,6.152492998100105,6.465616312455697,-0.4900000000000002,-1.0500000000000043,-0.3131233143555914
2026-03-09 23:08:21,13.19,53.56,13.75,54.64,6.143390705792187,6.487488514239165,-0.5600000000000005,-1.0799999999999983,-0.34409780844697835
2026-03-09 23:09:29,13.16,53.56,13.69,54.87,6.132008511209761,6.490783563001748,-0.5299999999999994,-1.3099999999999952,-0.3587750517919872
2026-03-09 23:10:29,13.19,53.55,13.72,54.91,6.142243694831433,6.5075210192505795,-0.5300000000000011,-1.3599999999999994,-0.3652773244191465
2026-03-09 23:11:37,13.19,53.52,13.71,54.97,6.138802661949176,6.510623350351523,-0.5200000000000014,-1.4499999999999957,-0.37182068840234717
2026-03-09 23:12:37,13.19,53.54,13.75,54.91,6.141096683870679,6.519546016048179,-0.5600000000000005,-1.3699999999999974,-0.37844933217749954
2026-03-09 23:13:45,13.19,53.56,13.71,55.02,6.143390705792187,6.516545329022026,-0.5200000000000014,-1.4600000000000009,-0.3731546232298397
2026-03-09 23:14:45,13.19,53.57,13.73,55.0,6.144537716752939,6.52219989713463,-0.5400000000000009,-1.4299999999999997,-0.37766218038169086
2026-03-09 23:15:53,13.18,53.55,13.69,55.03,6.138448298092807,6.509710579041118,-0.5099999999999998,-1.480000000000004,-0.3712622809483115
2026-03-09 23:16:53,13.19,53.55,13.71,55.0,6.142243694831433,6.5141765375538245,-0.5200000000000014,-1.4500000000000028,-0.3719328427223916
2026-03-09 23:18:01,13.19,53.55,13.69,55.08,6.142243694831433,6.515625271553422,-0.5,-1.5300000000000011,-0.37338157672198946
2026-03-09 23:21:09,13.19,53.58,13.5,55.61,6.145684727713691,6.501767660467019,-0.3100000000000005,-2.030000000000001,-0.3560829327533277
2026-03-09 23:22:17,13.18,53.54,13.55,55.44,6.137301995889616,6.501900479487584,-0.370000000000001,-1.8999999999999986,-0.36459848359796787
2026-03-09 23:23:17,13.18,53.57,13.62,55.25,6.140740902499192,6.507623816203702,-0.4399999999999995,-1.6799999999999997,-0.36688291370450976
2026-03-09 23:24:26,13.18,53.56,13.61,55.23,6.139594600296001,6.501262247717583,-0.4299999999999997,-1.6699999999999946,-0.36166764742158186
2026-03-09 23:25:25,13.18,53.54,13.66,55.03,6.137301995889616,6.49769795031777,-0.4800000000000004,-1.490000000000002,-0.36039595442815386
2026-03-09 23:26:33,13.18,53.57,13.64,54.98,6.140740902499192,6.4838037352873235,-0.46000000000000085,-1.4099999999999966,-0.34306283278813154
2026-03-09 23:27:33,13.19,53.6,13.68,54.76,6.1479787496351985,6.473784542383614,-0.4900000000000002,-1.1599999999999966,-0.32580579274841526
2026-03-09 23:28:41,13.18,53.56,13.64,54.69,6.139594600296001,6.449603970223057,-0.46000000000000085,-1.1299999999999955,-0.3100093699270561
2026-03-09 23:29:41,13.18,53.58,13.68,54.55,6.1418872047023845,6.4489581224803905,-0.5,-0.9699999999999989,-0.307070917778006
2026-03-09 23:30:50,13.19,53.57,13.66,54.55,6.144537716752939,6.441021682533787,-0.47000000000000064,-0.9799999999999969,-0.29648396578084757
2026-03-09 23:31:49,13.18,53.61,13.71,54.43,6.1453261113119595,6.446665980710085,-0.5300000000000011,-0.8200000000000003,-0.3013398693981255
2026-03-09 23:32:57,13.15,53.56,13.68,54.46,6.12821852577917,6.438318228236151,-0.5299999999999994,-0.8999999999999986,-0.3100997024569807
2026-03-09 23:33:57,13.16,53.54,13.68,54.38,6.129718739547622,6.428860544463494,-0.5199999999999996,-0.8400000000000034,-0.2991418049158723
