time,score_all,score_dAH,resid_dAH_signed,resid_dAH_z,ewma_z,ewma_abs,cusum_pos,cusum_neg,cusum_abs
2026-03-15 00:40:00,1.7892919778823853,0.06683342158794403,-0.06683342158794403,-2.274307008846774,-2.274307008846774,2.274307008846774,0.0,0.0,0.0
2026-03-15 00:45:00,1.650525689125061,0.02217799983918667,-0.01666758954524994,-0.6444130636864056,-1.9483282198147003,1.9483282198147003,0.0,0.1444130636864056,0.1444130636864056
2026-03-15 00:50:00,1.5137532949447632,0.022986551746726036,-0.01337576936930418,-0.5374614283828283,-1.666154861528326,1.666154861528326,0.0,0.1818744920692339,0.1818744920692339
2026-03-15 00:55:00,1.3873034715652466,0.018910115584731102,0.015364065766334534,0.396299288126741,-1.2536640315973127,1.2536640315973127,0.0,0.0,0.0
2026-03-15 01:00:00,1.2657748460769653,0.01897338032722473,-0.006079882383346558,-0.30041717856621475,-1.063014660991093,1.063014660991093,0.0,0.0,0.0
2026-03-15 01:05:00,1.1350406408309937,0.01820947229862213,-0.017985418438911438,-0.6872294836893322,-0.987857625530741,0.987857625530741,0.0,0.18722948368933223,0.18722948368933223
2026-03-15 01:10:00,1.0232354402542114,0.014788751490414143,-0.013764525763690472,-0.5500921706141808,-0.900304534547429,0.900304534547429,0.0,0.23732165430351304,0.23732165430351304
2026-03-15 01:15:00,0.9099286198616028,0.01551005244255066,-0.006794184446334839,-0.32362493890973554,-0.7849686154198904,0.7849686154198904,0.0,0.06094659321324858,0.06094659321324858
2026-03-15 01:20:00,0.826019287109375,0.01700531505048275,0.00884572695940733,0.18451767260658603,-0.5910713578145951,0.5910713578145951,0.0,0.0,0.0
2026-03-15 01:25:00,0.7545647025108337,0.02957265079021454,0.02957265079021454,0.8579379325333375,-0.3012694997450086,0.3012694997450086,0.3579379325333375,0.0,0.3579379325333375
2026-03-15 01:30:00,0.6958197355270386,0.04484010860323906,0.04484010860323906,1.353979481814569,0.029780296566906894,0.029780296566906894,1.2119174143479063,0.0,1.2119174143479063
2026-03-15 01:35:00,0.6528300046920776,0.05608914792537689,0.05608914792537689,1.7194621287368685,0.3677166630008992,0.3677166630008992,2.431379543084775,0.0,2.431379543084775
2026-03-15 01:40:00,0.6039841771125793,0.06192317605018616,0.06192317605018616,1.9090104075021708,0.6759754119011536,0.6759754119011536,3.840389950586946,0.0,3.840389950586946
2026-03-15 01:45:00,0.5570254325866699,0.06935584545135498,0.06935584545135498,2.1504987345179307,0.9708800764245091,0.9708800764245091,5.490888685104877,0.0,5.490888685104877
2026-03-15 01:50:00,0.5110650062561035,0.074355848133564,0.074355848133564,2.3129494258686174,1.2392939463133308,1.2392939463133308,7.303838110973494,0.0,7.303838110973494
2026-03-15 01:55:00,0.4721193313598633,0.07409150153398514,0.07409150153398514,2.304360772904372,1.452307311631539,1.452307311631539,9.108198883877867,0.0,9.108198883877867
2026-03-15 02:00:00,0.44213828444480896,0.07128558307886124,0.07128558307886124,2.2131961432271847,1.6044850779506683,1.6044850779506683,10.821395027105051,0.0,10.821395027105051
2026-03-15 02:05:00,0.41175684332847595,0.06391550600528717,0.06391550600528717,1.9737414484987028,1.6783363520602752,1.6783363520602752,12.295136475603755,0.0,12.295136475603755
2026-03-15 02:10:00,0.3836545944213867,0.06128978356719017,0.06128978356719017,1.8884314091898007,1.7203553634861803,1.7203553634861803,13.683567884793556,0.0,13.683567884793556
2026-03-15 02:15:00,0.36695635318756104,0.05794395133852959,0.05794395133852959,1.779724915766644,1.732229273942273,1.732229273942273,14.9632928005602,0.0,14.9632928005602
2026-03-15 02:20:00,0.34939974546432495,0.052833035588264465,0.052833035588264465,1.6136706454319598,1.7085175482402106,1.7085175482402106,16.07696344599216,0.0,16.07696344599216
2026-03-15 02:25:00,0.31894081830978394,0.0513191781938076,0.0513191781938076,1.5644852357498964,1.6797110857421478,1.6797110857421478,17.141448681742055,0.0,17.141448681742055
2026-03-15 02:30:00,0.30001750588417053,0.05132324621081352,0.05132324621081352,1.5646174061140024,1.656692349816519,1.656692349816519,18.20606608785606,0.0,18.20606608785606
2026-03-15 02:35:00,0.28127655386924744,0.052867453545331955,0.052867453545331955,1.6147888890161857,1.6483116576564523,1.6483116576564523,19.320854976872244,0.0,19.320854976872244
2026-03-15 02:40:00,0.27063754200935364,0.05086073279380798,0.05086073279380798,1.5495902893048723,1.6285673839861365,1.6285673839861365,20.370445266177118,0.0,20.370445266177118
2026-03-15 02:45:00,0.2543306052684784,0.05085444450378418,0.05085444450378418,1.5493859820021152,1.6127311035893324,1.6127311035893324,21.419831248179232,0.0,21.419831248179232
2026-03-15 02:50:00,0.252560019493103,0.04794497787952423,0.04794497787952423,1.4548570597968253,1.581156294830831,1.581156294830831,22.374688307976058,0.0,22.374688307976058
2026-03-15 02:55:00,0.25566229224205017,0.052603330463171005,0.052603330463171005,1.6062074981598584,1.5861665354966366,1.5861665354966366,23.480895806135916,0.0,23.480895806135916
2026-03-15 03:00:00,0.2522377371788025,0.06101995334029198,0.06101995334029198,1.8796645925113027,1.64486614689957,1.64486614689957,24.86056039864722,0.0,24.86056039864722
2026-03-15 03:05:00,0.2542600631713867,0.10946392267942429,0.10946392267942429,3.4536150103612027,2.006615919591897,2.006615919591897,27.81417540900842,0.0,27.81417540900842
2026-03-15 03:10:00,0.26277950406074524,0.1381853222846985,0.1381853222846985,4.386776754261459,2.4826480865258094,2.4826480865258094,31.700952163269882,0.0,31.700952163269882
2026-03-15 03:15:00,0.2698168456554413,0.14090938866138458,0.14090938866138458,4.475282000019108,2.881174869224469,2.881174869224469,35.67623416328899,0.0,35.67623416328899
2026-03-15 03:20:00,0.2829364836215973,0.13573668897151947,0.13573668897151947,4.307220362020783,3.166383967783732,3.166383967783732,39.483454525309774,0.0,39.483454525309774
