file,n_windows,dominant_label,dominant_ratio,expected_family,initial_state,heat_source,ext_humidity_level,in_humidity_level,hole_time,near_transition_windows,near_transition_transition_label_ratio,expected_match_ratio,count_低信息工况,ratio_低信息工况,count_外部高湿驱动工况,ratio_外部高湿驱动工况,count_热源稳定工况,ratio_热源稳定工况,count_热源启动窗口,ratio_热源启动窗口,count_冷却窗口,ratio_冷却窗口,count_内部积湿状态切换窗口,ratio_内部积湿状态切换窗口,count_内部积湿工况,ratio_内部积湿工况,count_复杂耦合工况,ratio_复杂耦合工况
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,23,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-04 16:39:09,0,,1.0,0,0.0,23,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-06 160246_seal_unheated,20,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,1.0,0,0.0,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-08 172014_seal_unheated,90,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-10 10:00:00,13,0.0,1.0,0,0.0,90,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-13 080032_unseal_heated,11,热源稳定工况,0.45454545454545453,transition_run,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,0.0,0,0.0,0,0.0,5,0.45454545454545453,3,0.2727272727272727,0,0.0,0,0.0,0,0.0,3,0.2727272727272727
2026-03-14 174006_unseal_heated,48,热源稳定工况,1.0,transition_run,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,0.0,0,0.0,0,0.0,48,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-04 163909_unseal_unheated,19,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-21 170450_unseal_heated,24,外部高湿驱动工况,0.8333333333333334,unknown,,,,,,0,,,0,0.0,20,0.8333333333333334,0,0.0,0,0.0,4,0.16666666666666666,0,0.0,0,0.0,0,0.0
2026-03-22 150919_unseal_unheated,4,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
