file,seal_label,label,score_baseline,pred_baseline,direction_baseline,threshold_baseline,pred_similarity,score_similarity,direction_similarity,threshold_similarity,directed_score_similarity,correct_baseline,correct_similarity,error_baseline,error_similarity,pred_or,pred_and
2026-03-02 161335_seal_unheated,seal,0,-0.4227520815194743,0,1,-0.1674586383496414,0,0.965768942824226,-1,0.3724605100648928,-0.965768942824226,1,1,0,0,0,0
2026-03-03 181049_unseal_unheated,unseal,1,-0.1674586383496414,0,1,0.0050328750228869,0,0.4961196820125533,-1,0.3724605100648928,-0.4961196820125533,0,0,1,1,0,0
2026-03-04 163909_unseal_unheated,unseal,1,0.1413352006494435,1,1,-0.1674586383496414,1,0.3724605100648928,-1,0.4961196820125533,-0.3724605100648928,1,1,0,0,1,1
2026-03-06 160246_seal_unheated,seal,0,0.0401454936789473,1,1,-0.1674586383496414,1,0.3895655547838099,-1,0.4961196820125533,-0.3895655547838099,0,0,1,1,1,1
2026-03-22 150919_unseal_unheated,unseal,1,0.0050328750228869,1,1,-0.1674586383496414,1,0.3262040904168936,-1,0.4961196820125533,-0.3262040904168936,1,1,0,0,1,1
2026-03-23 213435_seal_unheated,seal,0,-0.1967923939496096,0,1,-0.1674586383496414,0,0.9013406999993524,-1,0.3724605100648928,-0.9013406999993524,1,1,0,0,0,0
