run_id,scored_windows,mean_similarity_risk,q90_similarity_risk,top5_mean_similarity_risk,max_similarity_risk,rank_score,dominant_bank_scope,candidate_label_mix,file_path,sheet,seal_state_global,has_transition,transition_ts,condition_family_manual,heat_state_manual,ext_humidity_regime_manual,device_id_manifest,initial_state,in_humidity_level_manifest,status,n_points,n_windows,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,final_status,risk_level,primary_evidence,primary_segment_id,needs_review,event_start,event_end,peak_time,event_duration_h,peak_transition_phase,notes,review_status,review_priority
2026-03-03 181049_unseal_unheated,4,0.3320796319222703,0.6465492892195379,0.3320796319222703,0.8260562857738863,0.42642052911145056,strict_condition,candidate_high_info|exclude_low_info,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-03 181049_unseal_unheated.xlsx,Serial Data Log,unsealed,False,,ext_high_hum_no_heat,off,high,,非密封状态，外部湿度高，内部湿度低，无热源,低,ok,913.0,5.0,0.8,0.2,0.0,static_dynamic_support_alert,medium,multiview_support,S002,True,,,,,,非密封状态，外部湿度高，内部湿度低，无热源 | threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=4 | hard_case_ratio=0.863 | multiview support recovers static miss,pending,P2_static_support
2026-03-04 163909_unseal_unheated,31,0.16763624041923314,0.25196331117122794,0.37432321389283396,0.5180168244717288,0.33761524307635216,strict_condition,candidate_high_info,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-04 163909_unseal_unheated.xlsx,Serial Data Log,unsealed,False,,unknown,off,unknown,,,,ok,2447.0,31.0,1.0,0.0,0.0,static_dynamic_supported_alert,high,threshold+similarity+multiview,S001,True,,,,,,threshold_pred=1 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=1.091 | dynamic support agrees with static alert,pending,P1_static_alert
2026-03-22 150919_unseal_unheated,16,0.16777703131970284,0.28165487589999305,0.2550003476495598,0.3475207539506667,0.2629967061246898,strict_condition,candidate_high_info,zip:///Users/xpker/seal_detection_project/data/data_2026-03-24.zip#2026-03-22 150919_unseal_unheated.xlsx,Serial Data Log,unsealed,False,,unknown,off,unknown,,,,ok,1587.0,16.0,1.0,0.0,0.0,static_dynamic_supported_alert,high,threshold+similarity+multiview,S002,True,,,,,,threshold_pred=1 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=1.745 | dynamic support agrees with static alert,pending,P1_static_alert
