file,similarity_pred_label,similarity_mean_score,similarity_cutoff,direction,directed_score,n_windows
2026-03-02 161335_seal_unheated,0,0.9657689428242261,0.37246051006489284,-1,-0.9657689428242261,7
2026-03-03 181049_unseal_unheated,0,0.49611968201255335,0.37246051006489284,-1,-0.49611968201255335,4
2026-03-04 163909_unseal_unheated,1,0.37246051006489284,0.49611968201255335,-1,-0.37246051006489284,31
2026-03-06 160246_seal_unheated,1,0.38956555478380994,0.49611968201255335,-1,-0.38956555478380994,32
2026-03-22 150919_unseal_unheated,1,0.3262040904168936,0.49611968201255335,-1,-0.3262040904168936,16
2026-03-23 213435_seal_unheated,0,0.9013406999993523,0.37246051006489284,-1,-0.9013406999993523,9
