archive,inner_path,path_label,subgroup,file,sheet,status,n_points,duration_h,mean_out_h,mean_dT,mean_dAH,delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH,std_in_hum_run,std_AH_in_run,rh_ah_ratio,corr_in_temp_in_hum,corr_in_temp_AH_in,n_windows_12h,candidate_high_info_ratio,heat_related_ratio,exclude_low_info_ratio,complex_ratio,label_ext_high_hum_ratio,label_transition_ratio,label_heat_stable_ratio,label_cooling_ratio,max_corr_dAH_change,best_lag_h,gain_ratio_dAH_change,max_corr_outRH_inRH_change,best_lag_rh_h,demo_final_status,demo_risk_level,demo_rationale
unsealed.zip,密封状态数据/严格密封/2025-10-24 131318.xlsx,密封状态数据/严格密封,sealed_strict,2025-10-24 131318,Serial Data Log,ok,554.0,9.214722222222223,44.60119133574007,-0.3339891696750901,9.217408574367575,-1.3245848375451317,3.8125502267480673,-0.3103732574655329,0.8757212892123935,8.161558310917641,1.010222886327984,1.3557873127264093,0.7451189997467116,-0.7899074508653678,0.997796901375029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
unsealed.zip,密封状态数据/严格密封/2025-10-25 095124.xlsx,密封状态数据/严格密封,sealed_strict,2025-10-25 095124,Serial Data Log,ok,1420.0,23.651666666666667,62.64645774647887,-0.45694366197183145,8.564909732195169,-0.702492957746486,2.576920739862066,-0.0972781672954487,0.27268237632775627,9.379993377832644,1.756769058665407,3.3889895497276967,0.5183754723606516,-0.91083744527405,0.9991540766018477,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946385365942928,2.0,0.27838672613789717,0.997474984519433,1.0,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing | RH response is relatively fast
unsealed.zip,密封状态数据/严格密封/2025-10-27 102843.xlsx,密封状态数据/严格密封,sealed_strict,2025-10-27 102843,Serial Data Log,ok,1413.0,23.538055555555555,34.64279547062987,0.11415428167020475,11.981434670150005,-0.8543929382821034,3.326335556459224,-0.08547365091403193,0.32014775030771786,14.467040835625165,0.815121455290074,0.9803600190399414,0.8314511398458658,-0.781126384665923,0.9966309204470408,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5945400192379513,1.0,0.9758392857602798,0.993046587291195,1.0,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing | RH response is relatively fast | absolute-humidity gain is relatively high
unsealed.zip,密封状态数据/严格密封/2025-10-28 110628.xlsx,密封状态数据/严格密封,sealed_strict,2025-10-28 110628,Serial Data Log,ok,728.0,12.121666666666666,25.002115384615387,0.8671016483516487,6.519491534157549,2.3340109890109915,-0.6754706367609398,0.4516816452146598,-0.16700739225328642,-4.3378932363016975,2.229090079560596,1.9129629172039058,1.1652552485537773,-0.7969440163116768,0.9813085072905797,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942871985385003,1.0,0.6968556789691982,0.8641281462660398,6.0,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
unsealed.zip,密封状态数据/严格密封/2025-11-18 104042.xlsx,密封状态数据/严格密封,sealed_strict,2025-11-18 104042,Serial Data Log,ok,1479.0,24.509444444444444,28.65999323867478,-0.5200338066260987,19.889522885265787,4.730281443148151,14.94201837042946,0.3348361271192686,1.1510562119555465,27.890571789228535,3.3665442610427516,11.840199200938887,0.28433172482231517,-0.2977131156851942,0.9903037924869617,15.0,0.6,0.4,0.0,0.0,0.6,0.0,0.0,0.13333333333333333,0.7552092147971143,0.0,1.000538959649255,0.6309807930052043,2.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high | RH response is relatively fast | absolute-humidity gain is relatively high
unsealed.zip,密封状态数据/严格密封/2025-11-19 145039.xlsx,密封状态数据/严格密封,sealed_strict,2025-11-19 145039,Serial Data Log,ok,444.0,7.384166666666666,70.0081981981982,0.4595720720720721,-0.2860935666901065,0.02360360360360403,-2.0417344130748734,0.041955774632590245,-0.6142140162897701,-10.098305456250106,0.41943563536206574,0.3976042314449286,1.054907373188157,-0.5750956999315631,0.9916420363154276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
unsealed.zip,密封状态数据/严格密封/2025-12-05 170640.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-05 170640,Serial Data Log,ok,5418.0,90.31,70.92166297526762,-0.09074750830564782,-4.277459107096136,3.078228128460694,-1.1120277371455076,0.0633888073314915,-0.04198762785657295,6.342215387115161,2.0981118835817134,4.421009071317467,0.4745776020216292,-0.8490320151895,0.9884033939118628,80.0,0.775,0.0625,0.0,0.1625,0.775,0.0,0.0,0.025,0.8253535116269278,1.0,0.3378138347752761,0.21656169354704144,6.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high
unsealed.zip,密封状态数据/严格密封/2025-12-11 131942.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-11 131942,Serial Data Log,ok,411.0,6.823611111111111,39.93849148418491,0.1403892944038932,7.374288620701774,-1.7662675822874903,1.4515797592525344,0.20621855813758688,-1.1434239921608595,-28.498852795244915,3.4785092775012254,8.577514065779328,0.4055381606867908,-0.766342806676064,0.9859441049997564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
unsealed.zip,密封状态数据/严格密封/2025-12-12 162037.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-12 162037,Serial Data Log,ok,1449.0,23.926111111111112,29.66172532781228,-0.6630848861283645,15.835697532317813,1.001492246142135,6.620942789075585,0.09244511193403107,0.8515224124851688,20.425080890548543,4.600289063034051,19.04814759556856,0.24150847424682287,-0.8660722866578597,0.97438817110246,14.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,0.21428571428571427,0.6480977655266561,0.0,0.5892807812130778,0.318979733174121,6.0,strict_sealed_interference_watch,watch,strict sealed but candidate_high_info_ratio is high
unsealed.zip,密封状态数据/严格密封/2025-12-15 230921.xlsx,密封状态数据/严格密封,sealed_strict,2025-12-15 230921,Serial Data Log,ok,1833.0,30.291666666666668,25.074882705946532,-0.807419530823786,25.646858996733098,0.45553963703552824,2.7921488852186584,-0.1559291449576661,0.39545408053681497,2.630378044727112,5.373898191527885,20.475477507059512,0.26245532929208015,-0.8745133254400215,0.9801451880646465,20.0,0.5,0.35,0.0,0.15,0.5,0.0,0.0,0.2,0.6737486346619631,1.0,0.7985476351235806,0.14063814255672677,6.0,strict_sealed_negative_control_safe,safe,strict sealed and no persistent high-info routing
