segment_id,actual_label,static_vote_count_v1,static_vote_ratio_v1,static_vote_hits_v1,distance_negative_v1,distance_positive_v1,prototype_margin_v1,raw_label_v1,raw_confidence_v1,resolved_v1,correct_v1
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na::full,negative,0,0.0,,19.56630598167833,22.84024008251983,-3.273934100841501,negative,high,True,True
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::pre_change,negative,3,0.6,"slope_in_h_per_h,slope_dAH_per_h,end_start_dAH",3.3854021368580427,1.9945635494962206,1.390838587361822,watch,low,False,False
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,positive,5,1.0,"delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH",2.7699626054213615,1.1496353696996005,1.620327235721761,positive,medium,True,True
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,positive,5,1.0,"delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH",3.4365866388907897,0.49052900092966806,2.946057637961122,positive,high,True,True
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,positive,5,1.0,"delta_half_in_h,delta_half_dAH,slope_in_h_per_h,slope_dAH_per_h,end_start_dAH",4.896180073338036,1.4507621233606052,3.445417949977431,positive,high,True,True
