event_id,dev_num,start_ts,end_ts,peak_score,duration_sec,event_level,decision_reason,shadow_mode,created_at,label,reviewer,note
000000030165526_1764156507000,000000030165526,1764156507000,1768391867000,0.31899596829962734,4235360,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:59,,,
000000080165521_1765632726000,000000080165521,1765632726000,1772970804000,0.2945789232683157,7338078,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:24,,,
000000080165522_1765610088000,000000080165522,1765610088000,1772969748000,0.2868202162102089,7359660,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:27,,,
000000020165466_1764734781000,000000020165466,1764734781000,1772956097000,0.27892204807545173,8221316,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:35:00,,,
000000020165466_1767338594000,000000020165466,1767338594000,1772956097000,0.27892204807545173,5617503,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:37:16,,,
000000060160511_1766344238000,000000060160511,1766344238000,1768196382000,0.2751793706092964,1852144,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:33:32,,,
000000060160511_1766169493000,000000060160511,1766169493000,1768196382000,0.27517874262273406,2026889,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:34:00,,,
000000020165512_1764037643000,000000020165512,1764037643000,1772971399000,0.259078900455967,8933756,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:56,,,
000000060160513_1765366875000,000000060160513,1765366875000,1772954738000,0.25903558158987355,7587863,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:34:08,,,
000000060160513_1765825218000,000000060160513,1765825218000,1772954738000,0.2590355815898735,7129520,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:33:39,,,
000000030165530_1764669335000,000000030165530,1764669335000,1768991959000,0.24679598646897677,4322624,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:53,,,
000000060160516_1765386640000,000000060160516,1765386640000,1769001600000,0.23791002351257562,3614960,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:34:29,,,
000000050165512_1763302574000,000000050165512,1763302574000,1767260037000,0.23612498023132053,3957463,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:35:16,,,
000000050165512_1765773721000,000000050165512,1765773721000,1767260037000,0.2351578514522384,1486316,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:37:22,,,
000000060160527_1766705689000,000000060160527,1766705689000,1772971415000,0.2347636699454718,6265726,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:28:44,,,
000000020165515_1762053262000,000000020165515,1762053262000,1772968399000,0.2300298613702731,10915137,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:35:03,,,
000000020165515_1764648065000,000000020165515,1764648065000,1772968399000,0.23002861975385158,8320334,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:37:17,,,
000000060160521_1764942387000,000000060160521,1764942387000,1773024648000,0.22355902283048684,8082261,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:33,,,
000000080165527_1765605165000,000000080165527,1765605165000,1772965095000,0.21921802661250128,7359930,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:46,,,
000000060160516_1765742720000,000000060160516,1765742720000,1769001600000,0.20955918920781225,3258880,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:33:58,,,
000000060160508_1764203765000,000000060160508,1764203765000,1767641999000,0.20922273843052988,3438234,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:21,,,
000000070165525_1761467526000,000000070165525,1761467526000,1763196068000,0.20363352463535017,1728542,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:37:20,,,
000000070165525_1759091209000,000000070165525,1759091209000,1763196068000,0.2036335246343974,4104859,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:35:11,,,
000000080165523_1765662736000,000000080165523,1765662736000,1773996418000,0.19483246679497576,8333682,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:15,,,
000000060160515_1767978032000,000000060160515,1767978032000,1772971316000,0.1920487037477912,4993284,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:37:04,,,
000000060160515_1766379413000,000000060160515,1766379413000,1772971316000,0.19204870374777516,6591903,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:34:32,,,
000000060160526_1766569475000,000000060160526,1766569475000,1772978189000,0.17744127251649092,6408714,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:26:30,,,
000000030165525_1764583072000,000000030165525,1764583072000,1768992645000,0.17508511967499782,4409573,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:41,,,
000000060160528_1759023140000,000000060160528,1759023140000,1760461139000,0.17067140280971121,1437999,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T13:28:45,,,
000000080165515_1766923997000,000000080165515,1766923997000,1772985222000,0.14833650988413336,6061225,warn,ewma_hysteresis_v2_ongoing,True,2026-03-21T14:10:19,,,
000000080165520_1765733702000,000000080165520,1765733702000,1767379041000,0.12546417891359102,1645339,warn,ewma_hysteresis_v2_closed,True,2026-03-21T14:10:30,,,
000000080165515_1765560402000,000000080165515,1765560402000,1766664374000,0.11133268009571473,1103972,warn,ewma_hysteresis_v2_closed,True,2026-03-21T14:10:18,,,
