file,sheet,window_id,start_time,end_time,window_center_time,class_label,predicted_group,expected_family,expected_match,transition_phase,seal_label,heat_source_inferred,hole_time,mean_in_temp,std_in_temp,slope_in_temp,mean_out_temp,std_out_temp,slope_out_temp,mean_in_hum,std_in_hum,slope_in_hum,mean_out_hum,std_out_hum,slope_out_hum,mean_AH_in,std_AH_in,slope_AH_in,mean_AH_out,std_AH_out,slope_AH_out,mean_dT,std_dT,slope_dT,mean_dAH,std_dAH,slope_dAH,first_mean_in_temp,second_mean_in_temp,delta_half_in_temp,first_mean_out_temp,second_mean_out_temp,delta_half_out_temp,first_mean_in_hum,second_mean_in_hum,delta_half_in_hum,first_mean_out_hum,second_mean_out_hum,delta_half_out_hum,first_mean_AH_in,second_mean_AH_in,delta_half_AH_in,first_mean_AH_out,second_mean_AH_out,delta_half_AH_out,first_mean_dT,second_mean_dT,delta_half_dT,first_mean_dAH,second_mean_dAH,delta_half_dAH,first_slope_in_temp,second_slope_in_temp,first_slope_AH_in,second_slope_AH_in,delta_in_temp,delta_out_temp,delta_in_hum,delta_AH_in,corr_temp,corr_hum,corr_AH,high_in_hum_ratio,high_out_hum_ratio,in_ah_gt_out_ah_ratio,max_hourly_temp_rise,max_hourly_temp_drop,max_hourly_hum_rise,transition_score,transition_rank_pct
2026-03-08 172014_seal_unheated,Serial Data Log,W0075,2026-03-11 19:00:00,2026-03-12 07:00:00,2026-03-12 01:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.858583333333334,0.05244183479018775,-0.008565326584989522,13.588055555555558,0.07039603622535645,-0.017329623204492352,57.70227777777778,0.27935716104585556,0.08037418992001331,96.19301388888888,0.042667649556220266,0.009119235673418083,6.896955831633381,0.02798723240563337,0.005959738321574931,11.307902070487552,0.045772575325367854,-0.010984255998286474,0.2705277777777779,0.03668456384557758,0.008764296619502418,-4.410946238854171,0.06014068352744469,0.016943994319860767,13.88536111111111,13.831805555555555,-0.05355555555555469,13.64102777777778,13.535083333333334,-0.10594444444444484,57.46091666666667,57.943638888888884,0.4827222222222147,96.1625,96.22352777777778,0.06102777777778101,6.879489934523066,6.914421728743697,0.03493179422063175,11.341189188622357,11.274614952352747,-0.06657423626960934,0.24433333333333343,0.2967222222222224,0.05238888888888896,-4.461699254099291,-4.360193223609051,0.1015060304902402,0.01539279267590314,-0.030375253847700245,0.01633889783827969,-0.0035882848966499324,-0.049999999999998934,-0.23000000000000043,0.9499999999999957,0.09179986711088883,0.8613911445396474,0.7495752217500663,-0.2882359429412425,0.0,1.0,0.0,0.040500000000001535,-0.043499999999998096,0.09133333333333127,0.35047274466074524,0.696078431372549
2026-03-08 172014_seal_unheated,Serial Data Log,W0076,2026-03-11 20:00:00,2026-03-12 08:00:00,2026-03-12 02:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.847430555555553,0.06944992019827163,-0.016324054435605907,13.56761111111111,0.08955531550734701,-0.023584679219347416,57.78315277777777,0.27745802021664007,0.07983258015472476,96.20222222222223,0.04293547969306355,0.00921240566933368,6.901857349100343,0.019669199635540393,0.0026010471438511324,11.294799349661538,0.05875312114644839,-0.015309183550668988,0.27981944444444456,0.03158485332176065,0.007260624783741193,-4.392942000561195,0.06347265728471921,0.017910230694520236,13.897305555555555,13.797555555555553,-0.099750000000002,13.638777777777781,13.496444444444442,-0.14233333333333853,57.54416666666666,58.02213888888889,0.47797222222222757,96.17219444444444,96.23225000000001,0.06005555555556441,6.894490722768787,6.909223975431898,0.014733252663110541,11.340760818263835,11.248837881059242,-0.09192293720459332,0.258527777777778,0.30111111111111116,0.04258333333333314,-4.446270095495048,-4.339613905627343,0.10665618986770475,0.005782371489844849,-0.03664817033076332,0.012219740393442449,-0.00614516036866774,-0.16999999999999993,-0.27999999999999936,0.980000000000004,0.044647041846397784,0.9522979668288089,0.75276485716586,-0.08219416193963716,0.0,1.0,0.0,0.02433333333333465,-0.0513333333333339,0.09100000000000108,0.36678184012062487,0.7254901960784313
2026-03-08 172014_seal_unheated,Serial Data Log,W0077,2026-03-11 21:00:00,2026-03-12 09:00:00,2026-03-12 03:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.828916666666666,0.08854373521541256,-0.023138186584181337,13.542305555555554,0.10709576634013233,-0.0292821465996371,57.86298611111112,0.27699731088583673,0.07970269686729102,96.21219444444445,0.04487864610154692,0.009908513287666417,6.9035163421692936,0.01635024420595608,-0.0003152052466166625,11.278425363962025,0.07044202970017276,-0.019166451981250863,0.28661111111111126,0.028639311591653623,0.006143960015455863,-4.374909021792732,0.06661136206719279,0.018851246734633963,13.899055555555556,13.758777777777777,-0.14027777777777928,13.630972222222221,13.45363888888889,-0.17733333333333157,57.62416666666667,58.10180555555556,0.4776388888888903,96.18261111111113,96.24177777777778,0.05916666666665549,6.9048020292681045,6.902230655070483,-0.0025713741976218785,11.336541860501823,11.220308867422228,-0.11623299307959556,0.2680833333333337,0.30513888888888885,0.037055555555555175,-4.431739831233718,-4.318078212351745,0.11366161888197279,-0.0027687357761590147,-0.042086458620761255,0.008526093308457371,-0.00847980139528636,-0.26000000000000156,-0.33000000000000007,0.970000000000006,0.005277719227401612,0.9748998513665802,0.7746498914928186,0.3439723630129713,0.0,1.0,0.0,0.013666666666665606,-0.0513333333333339,0.09100000000000108,0.39693767702983646,0.7647058823529411
2026-03-08 172014_seal_unheated,Serial Data Log,W0078,2026-03-11 22:00:00,2026-03-12 10:00:00,2026-03-12 04:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.805638888888891,0.10418173187303785,-0.02854160678590389,13.514930555555555,0.11772529094313766,-0.032923463020896125,57.94305555555555,0.2768501494567252,0.0796617741947644,96.2241527777778,0.04863767426655025,0.011094599865037717,6.903176478725183,0.01687290189191273,-0.002626146816418634,11.260847594942456,0.07721621760372764,-0.021536917181673252,0.2907083333333334,0.02540735577345987,0.004381856234993062,-4.357671116217273,0.06680320619945751,0.01891077036525459,13.89263888888889,13.718638888888888,-0.17400000000000126,13.61541666666667,13.414444444444444,-0.20097222222222655,57.70444444444444,58.18166666666666,0.4772222222222169,96.19333333333336,96.25497222222222,0.06163888888886504,6.911684741070398,6.8946682163799675,-0.01701652469043058,11.326957996933558,11.194737192951354,-0.1322208039822037,0.2772222222222224,0.30419444444444443,0.02697222222222201,-4.415273255863161,-4.300068976571385,0.11520427929177579,-0.0104970766498141,-0.043862244697319926,0.0051855978388374475,-0.009182369359071322,-0.3200000000000003,-0.34999999999999964,0.9399999999999977,-0.023799331486409336,0.9811613395797087,0.7997103852458174,0.6847890186393218,0.0,1.0,0.0,0.005499999999999616,-0.0513333333333339,0.09100000000000108,0.4031317206675736,0.7745098039215687
2026-03-08 172014_seal_unheated,Serial Data Log,W0079,2026-03-11 23:00:00,2026-03-12 11:00:00,2026-03-12 05:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.779930555555554,0.11386677259997106,-0.03196364545517493,13.48861111111111,0.12024089815808281,-0.03383641803902178,58.02262499999999,0.27622615442178544,0.07948644360625372,96.23883333333332,0.05662039617368568,0.013436291696796476,6.901734355602427,0.018323107118485504,-0.004114099128567606,11.244309764470133,0.07819525721434267,-0.02188500693779254,0.2913194444444445,0.02486252962562232,0.001872772583846946,-4.342575408867706,0.06370683328305107,0.017770907809225488,13.879277777777778,13.680583333333335,-0.19869444444444362,13.59486111111111,13.382361111111111,-0.21249999999999858,57.78497222222222,58.26027777777777,0.47530555555555054,96.20422222222223,96.27344444444444,0.06922222222220853,6.915642590111358,6.887826121093496,-0.02781646901786239,11.313916657295831,11.174702871644435,-0.1392137856513962,0.284416666666667,0.298222222222222,0.013805555555555016,-4.398274067184473,-4.286876750550939,0.1113973166335338,-0.0173285570672291,-0.039709960482527264,0.002272983037368576,-0.0073732295572880024,-0.3000000000000007,-0.3100000000000005,0.9599999999999937,-0.013133589502431597,0.9789096042533236,0.8298045147834675,0.8346270099573271,0.0,1.0,0.0,-0.004666666666667041,-0.0513333333333339,0.09100000000000108,0.3840150852277427,0.7549019607843137
2026-03-08 172014_seal_unheated,Serial Data Log,W0080,2026-03-12 00:00:00,2026-03-12 12:00:00,2026-03-12 06:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.754402777777775,0.11582769320175622,-0.032692793034657074,13.465388888888887,0.11326051002397812,-0.030824921265825343,58.101861111111106,0.27353886993868193,0.07872212061369815,96.25434722222222,0.05839405244406924,0.014030081842914639,6.900315719421733,0.018720149316495367,-0.004530064752018177,11.230001657838166,0.07339510690397381,-0.01972198900960667,0.28901388888888896,0.029074740890910656,-0.0018678717688316298,-4.329685938416434,0.05714986275033529,0.015191924257588411,13.858777777777778,13.650027777777776,-0.208750000000002,13.56797222222222,13.362805555555555,-0.20516666666666517,57.86525,58.338472222222215,0.473222222222212,96.21433333333334,96.29436111111112,0.08002777777777226,6.916527204384342,6.884104234459124,-0.03242296992521787,11.29638743086782,11.16361588480851,-0.13277154605931152,0.29080555555555576,0.2872222222222221,-0.0035833333333336603,-4.379860226483482,-4.279511650349385,0.10034857613409631,-0.023842862802680848,-0.028974346241894287,-0.0007762688314826708,-0.0030451729144964114,-0.3100000000000005,-0.22999999999999865,0.980000000000004,-0.01522069129827841,0.9680322784348082,0.8365079902064472,0.899285880735696,0.0,1.0,0.0,0.007666666666665378,-0.0513333333333339,0.08266666666666822,0.33306013738512125,0.6470588235294118
2026-03-08 172014_seal_unheated,Serial Data Log,W0081,2026-03-12 01:00:00,2026-03-12 13:00:00,2026-03-12 07:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.730888888888888,0.11103903704740982,-0.030740506884295058,13.447055555555558,0.1021150308428209,-0.02533012001715144,58.179402777777774,0.2715628369294563,0.0781440869557758,96.27130555555556,0.06469757158359807,0.0159202386419826,6.8995367355905906,0.018405439469031032,-0.003784196510084947,11.219247705204337,0.06600542659634746,-0.015692822072349677,0.28383333333333327,0.035806231732426475,-0.005410386867143731,-4.319710969613747,0.049823424957680926,0.011908625562265195,13.831805555555555,13.629972222222221,-0.2018333333333331,13.535083333333334,13.359027777777778,-0.17605555555555696,57.943638888888884,58.415166666666664,0.47152777777778,96.22352777777778,96.31908333333332,0.09555555555554918,6.914421728743697,6.884651742437484,-0.029769986306213525,11.274614952352747,11.163880458055926,-0.11073449429682114,0.2967222222222224,0.2709444444444442,-0.025777777777778177,-4.360193223609051,-4.279228715618443,0.08096450799060761,-0.030375253847700245,-0.013758388145472035,-0.0035882848966499324,0.003075995290808145,-0.2599999999999998,-0.1899999999999995,1.0,0.008288322698453143,0.946976172573227,0.8533317639469699,0.9108477112555253,0.0,1.0,0.0,0.01950000000000074,-0.0513333333333339,0.08266666666666822,0.2462145722942954,0.5098039215686274
2026-03-08 172014_seal_unheated,Serial Data Log,W0082,2026-03-12 02:00:00,2026-03-12 14:00:00,2026-03-12 08:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.710819444444443,0.10003209865768403,-0.02588880467751659,13.434277777777778,0.08952683876997587,-0.017363954127288528,58.25545833333334,0.2685893939033804,0.07725741946969471,96.28975,0.07323590590529516,0.018577430461674073,6.900035770875478,0.019093915795054758,-0.0018399914821742819,11.212521243624472,0.05858441638800005,-0.009863683434821968,0.2765416666666665,0.04279668188690007,-0.00852485055022915,-4.312485472748994,0.042599707899578655,0.008023691952647063,13.797555555555553,13.624083333333333,-0.17347222222221959,13.496444444444442,13.372111111111112,-0.12433333333333074,58.02213888888889,58.48877777777778,0.4666388888888875,96.23225000000001,96.34725,0.11499999999999488,6.909223975431898,6.890847566319058,-0.018376409112839553,11.248837881059242,11.176204606189705,-0.07263327486953663,0.30111111111111116,0.25197222222222193,-0.04913888888888923,-4.339613905627343,-4.285357039870645,0.05425686575669797,-0.03664817033076332,0.002947406603091213,-0.00614516036866774,0.0097881884199216,-0.23000000000000043,-0.10999999999999943,0.8599999999999994,0.0043095258081544685,0.9039034989120414,0.8751732244090418,0.8859135853891451,0.0,1.0,0.0,0.033666666666666956,-0.0513333333333339,0.08266666666666822,0.1232346957264652,0.35294117647058826
2026-03-08 172014_seal_unheated,Serial Data Log,W0083,2026-03-12 03:00:00,2026-03-12 15:00:00,2026-03-12 09:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.696833333333334,0.08648908378143388,-0.018283830184245342,13.428055555555556,0.08054644543203274,-0.007044199636857937,58.33113888888889,0.2638135486885439,0.07585081708134424,96.3086388888889,0.08105927801498368,0.021261563455460087,6.903077823946718,0.024358629430625292,0.0012193745072528945,11.210403979696205,0.05531462194015082,-0.0023977438136244247,0.26877777777777767,0.04830254162814978,-0.011239630547387018,-4.307326155749485,0.03558184189920907,0.003617118320877074,13.758777777777777,13.63488888888889,-0.12388888888888694,13.45363888888889,13.402472222222222,-0.05116666666666703,58.10180555555556,58.56047222222222,0.4586666666666588,96.24177777777778,96.3755,0.13372222222221808,6.902230655070483,6.903924992822955,0.001694337752472741,11.220308867422228,11.200499091970181,-0.019809775452046097,0.30513888888888885,0.23241666666666647,-0.07272222222222238,-4.318078212351745,-4.296574099147226,0.021504113204518838,-0.042086458620761255,0.019636615015426885,-0.00847980139528636,0.016527787409854236,-0.10999999999999943,-0.019999999999999574,0.8500000000000014,0.0542627508832787,0.8350780570195984,0.9044800551044568,0.8857812618355183,0.0,1.0,0.0,0.05233333333333334,-0.0513333333333339,0.08266666666666822,0.021663579677344905,0.18627450980392157
2026-03-08 172014_seal_unheated,Serial Data Log,W0084,2026-03-12 04:00:00,2026-03-12 16:00:00,2026-03-12 10:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.68911111111111,0.07567986809899573,-0.008702987782105376,13.429624999999998,0.08332952123872316,0.004377172466844008,58.40551388888889,0.2585495270603504,0.07431143920186774,96.32905555555556,0.08788946922586142,0.023641445268283743,6.908638248107284,0.03344410447216192,0.005112871436374512,11.21389504311234,0.06130753719210626,0.005801372536028484,0.25948611111111103,0.052454495294966555,-0.01308016024895041,-4.305256795005054,0.03249396383774189,-0.0006885010996539022,13.718638888888888,13.659583333333332,-0.05905555555555608,13.414444444444444,13.444805555555554,0.030361111111110617,58.18166666666666,58.62936111111111,0.4476944444444513,96.25497222222222,96.40313888888888,0.14816666666665412,6.8946682163799675,6.922608279834599,0.027940063454631847,11.194737192951354,11.233052893273323,0.03831570032196829,0.30419444444444443,0.21477777777777765,-0.08941666666666678,-4.300068976571385,-4.310444613438723,-0.010375636867338223,-0.043862244697319926,0.033243365293569305,-0.009182369359071322,0.022142464974911475,-0.040000000000000924,0.08000000000000007,0.8900000000000006,0.08888923310072894,0.7864890508042591,0.928392682257202,0.9318449770347943,0.0,1.0,0.0,0.05233333333333334,-0.0513333333333339,0.08266666666666822,0.00738982826358916,0.13725490196078433
2026-03-08 172014_seal_unheated,Serial Data Log,W0085,2026-03-12 05:00:00,2026-03-12 17:00:00,2026-03-12 11:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.688166666666666,0.07415710871721101,0.002305535645824259,13.438722222222221,0.09807482344447035,0.01655842326655989,58.47844444444444,0.25339491236064937,0.07281297587259059,96.34979166666668,0.09291949010389751,0.02545228403932612,6.916930748997778,0.04497367525017678,0.009631411308011564,11.22267804063779,0.07478760742705948,0.014471220820701042,0.24944444444444433,0.055121282105900754,-0.014252887620735628,-4.305747291640012,0.03323939684057521,-0.004839809512689193,13.680583333333335,13.695749999999999,0.015166666666663886,13.382361111111111,13.495083333333332,0.11272222222222084,58.26027777777777,58.69661111111111,0.43633333333333724,96.27344444444444,96.4261388888889,0.15269444444446378,6.887826121093496,6.946035376902062,0.05820925580856606,11.174702871644435,11.270653209631147,0.0959503379867126,0.298222222222222,0.20066666666666658,-0.09755555555555542,-4.286876750550939,-4.324617832729084,-0.03774108217814476,-0.039709960482527264,0.04297530126528216,-0.0073732295572880024,0.026231258299756324,0.05000000000000071,0.14000000000000057,0.9299999999999997,0.13228986897981887,0.8304470509284576,0.9477040529586301,0.9678922777247694,0.0,1.0,0.0,0.053333333333334565,-0.0513333333333339,0.08266666666666822,0.0,0.058823529411764705
2026-03-08 172014_seal_unheated,Serial Data Log,W0086,2026-03-12 06:00:00,2026-03-12 18:00:00,2026-03-12 12:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.695583333333333,0.08720952181620029,0.014111597373154684,13.456958333333331,0.12349927361788261,0.02931340342820738,58.55023611111111,0.2463594732724651,0.07078222645999588,96.37141666666666,0.09121918002204521,0.02464582388519734,6.9286820663914535,0.05815580982021377,0.014443465932676751,11.237956876252067,0.09394217411258612,0.023252277638231022,0.23862499999999992,0.0574097677450902,-0.01520180605505334,-4.309274809860612,0.037994636420168884,-0.008808811705554738,13.650027777777776,13.741138888888887,0.09111111111111114,13.362805555555555,13.55111111111111,0.18830555555555506,58.338472222222215,58.762,0.4235277777777853,96.29436111111112,96.44847222222221,0.1541111111110922,6.884104234459124,6.973259898323782,0.08915566386465823,11.16361588480851,11.312297867695623,0.14868198288711376,0.2872222222222221,0.19002777777777777,-0.09719444444444433,-4.279511650349385,-4.339037969371839,-0.059526319022453755,-0.028974346241894287,0.050795802363299655,-0.0030451729144964114,0.029475626728371455,0.120000000000001,0.3000000000000007,0.8399999999999963,0.1518309715232773,0.9081300877333041,0.9388212539675891,0.9850887716123821,0.0,1.0,0.0,0.06299999999999883,-0.0513333333333339,0.08266666666666822,0.05831903005408756,0.24509803921568626
2026-03-08 172014_seal_unheated,Serial Data Log,W0087,2026-03-12 07:00:00,2026-03-12 19:00:00,2026-03-12 13:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.710708333333333,0.1078577512571939,0.02520804540450024,13.48236111111111,0.14559162365246953,0.03911494709074784,58.62101388888888,0.23986945876397153,0.06893376166475922,96.39299999999999,0.08790974003039354,0.02349270698905107,6.943631591888978,0.07081965860747574,0.01899016939611992,11.25822283344283,0.10986369285640421,0.029951377818491862,0.2283472222222221,0.05464683928402058,-0.013906901686249005,-4.314591241553852,0.04140991032148843,-0.010961208422371853,13.629972222222221,13.791444444444444,0.16147222222222268,13.359027777777778,13.605694444444442,0.24666666666666437,58.415166666666664,58.82686111111111,0.4116944444444428,96.31908333333332,96.46691666666668,0.14783333333335236,6.884651742437484,7.002611441340471,0.11795969890298696,11.163880458055926,11.352565208829732,0.1886847507738061,0.2709444444444442,0.18575000000000003,-0.08519444444444418,-4.279228715618443,-4.349953767489259,-0.07072505187081557,-0.013758388145472035,0.054028270443890906,0.003075995290808145,0.030937710413794846,0.23999999999999844,0.34999999999999964,0.8400000000000034,0.2034172060296111,0.9502511145047479,0.9310459515669741,0.987767891728891,0.0,1.0,0.0,0.06299999999999883,-0.04783333333333317,0.08249999999999602,0.11533843269411984,0.3235294117647059
2026-03-08 172014_seal_unheated,Serial Data Log,W0088,2026-03-12 08:00:00,2026-03-12 20:00:00,2026-03-12 14:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.734124999999999,0.1298520006481329,0.03457116386309136,13.514166666666668,0.16075231684597607,0.04525983512594231,58.68983333333333,0.2338020393457365,0.06720058190303377,96.41390277777779,0.08193532843117418,0.021503216661673704,6.961921692753762,0.0818205366862015,0.02282798563926629,11.282859472203755,0.12023002916151693,0.03402392228881071,0.21995833333333326,0.0483482204144699,-0.010688671262850308,-4.3209377794499915,0.0417937994441853,-0.011195936649544783,13.624083333333333,13.844166666666666,0.2200833333333332,13.372111111111112,13.656222222222222,0.28411111111111076,58.48877777777778,58.890888888888895,0.4021111111111182,96.34725,96.48055555555555,0.1333055555555518,6.890847566319058,7.032995819188467,0.1421482528694087,11.176204606189705,11.389514338217804,0.21330973202809922,0.25197222222222193,0.18794444444444458,-0.06402777777777735,-4.285357039870645,-4.356518519029338,-0.0711614791586932,0.002947406603091213,0.053633822424331894,0.0097881884199216,0.030744875263312342,0.33000000000000007,0.4299999999999997,0.8299999999999983,0.24108404464107291,0.9668793662706119,0.9160525693316879,0.9862038893023847,0.0,1.0,0.0,0.06299999999999883,-0.03283333333333438,0.08249999999999602,0.16346780629102942,0.39215686274509803
2026-03-08 172014_seal_unheated,Serial Data Log,W0089,2026-03-12 09:00:00,2026-03-12 21:00:00,2026-03-12 15:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.764180555555555,0.14660324879080683,0.04102421835989481,13.55048611111111,0.16534420565501284,0.04699427721772344,58.75755555555555,0.22880319259719117,0.06578398959040252,96.43380555555555,0.07439110997346758,0.019054931388239035,6.982944316254758,0.08959127474561017,0.025472171783986655,11.310503415670476,0.12283560041812135,0.03498635273860174,0.21369444444444438,0.04036986127389674,-0.005970058857828168,-4.327559099415718,0.03849777846648276,-0.009514180954614484,13.63488888888889,13.893472222222222,0.2585833333333323,13.402472222222222,13.6985,0.2960277777777769,58.56047222222222,58.95463888888889,0.39416666666667055,96.3755,96.49211111111111,0.11661111111111211,6.903924992822955,7.061963639686559,0.15803864686360392,11.200499091970181,11.42050773937077,0.22000864740058823,0.23241666666666647,0.1949722222222223,-0.03744444444444417,-4.296574099147226,-4.35854409968421,-0.061970000536984315,0.019636615015426885,0.050067723862131513,0.016527787409854236,0.029265841571162517,0.379999999999999,0.4599999999999991,0.769999999999996,0.25563912016976964,0.9736282517437934,0.8930592016832102,0.9828762460221445,0.0,1.0,0.0,0.06299999999999883,-0.015499999999999403,0.07516666666666083,0.1966280762873552,0.4215686274509804
2026-03-08 172014_seal_unheated,Serial Data Log,W0090,2026-03-12 10:00:00,2026-03-12 22:00:00,2026-03-12 16:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.798666666666668,0.15540301592131636,0.04425760486587811,13.588388888888888,0.16036524336994054,0.04521763751489278,58.82366666666666,0.22555238945626313,0.06486449598875942,96.4524861111111,0.0670400401511271,0.01676156575670788,7.0056932734570205,0.09354422844439278,0.026803761196441813,11.339105656406096,0.11868260061263063,0.03352654985657056,0.21027777777777779,0.034899905440898375,-0.0009600326490151358,-4.333412382949075,0.03304110635891461,-0.0067227886601289154,13.659583333333332,13.937750000000001,0.2781666666666691,13.444805555555554,13.731972222222224,0.28716666666666946,58.62936111111111,59.01797222222221,0.38861111111110347,96.40313888888888,96.50183333333332,0.09869444444444753,6.922608279834599,7.088778267079441,0.16616998724484144,11.233052893273323,11.445158419538869,0.21210552626554602,0.21477777777777765,0.20577777777777792,-0.00899999999999973,-4.310444613438723,-4.356380152459426,-0.0459355390207028,0.033243365293569305,0.04273288893470169,0.022142464974911475,0.02616583615198902,0.4299999999999997,0.4499999999999993,0.7800000000000011,0.2783524570023248,0.9760569782980697,0.8711011501951096,0.9792931922275802,0.0,1.0,0.0,0.06299999999999883,0.007666666666665378,0.07066666666666066,0.21332730320427543,0.4803921568627451
2026-03-08 172014_seal_unheated,Serial Data Log,W0091,2026-03-12 11:00:00,2026-03-12 23:00:00,2026-03-12 17:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.835083333333332,0.15520902053564037,0.04419443836051912,13.625013888888889,0.14739178799055583,0.04068089123627633,58.888458333333325,0.2228778417352846,0.06410113179704056,96.46831944444445,0.062489682350347325,0.01526061182195104,7.029129910881334,0.09334430051867275,0.026738910330752604,11.366496667478895,0.10914264779480641,0.030228166329802283,0.21006944444444453,0.03439313997844463,0.0035135471242422537,-4.33736675659756,0.027919923986142126,-0.0034892559990504016,13.695749999999999,13.974416666666665,0.2786666666666662,13.495083333333332,13.754944444444446,0.259861111111114,58.69661111111111,59.08030555555555,0.383694444444437,96.4261388888889,96.5105,0.08436111111109312,6.946035376902062,7.112224444860605,0.16618906795854294,11.270653209631147,11.46234012532664,0.19168691569549345,0.20066666666666658,0.21947222222222243,0.018805555555555853,-4.324617832729084,-4.350115680466036,-0.025497847736952295,0.04297530126528216,0.03197649510467217,0.026231258299756324,0.021528760601229935,0.4800000000000004,0.4299999999999997,0.7600000000000051,0.2979246962790949,0.9754818867780983,0.8509090254572163,0.9739918292455043,0.0,1.0,0.0,0.06299999999999883,0.007666666666665378,0.07066666666666066,0.212514019986661,0.47058823529411764
2026-03-08 172014_seal_unheated,Serial Data Log,W0092,2026-03-12 12:00:00,2026-03-13 00:00:00,2026-03-12 18:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.870805555555554,0.14729046916101343,0.041403735883040985,13.657763888888889,0.13038884747307247,0.03470659864353282,58.95195833333334,0.21974868294908645,0.06319458413151181,96.48302777777778,0.05258544202265798,0.011884255401738644,7.052133653890157,0.089529679703757,0.02547584154290267,11.391075495576082,0.09606258881279947,0.025690375119951824,0.21304166666666674,0.037193602235974725,0.006697137239506884,-4.338941841685925,0.025496234956893623,-0.00021453357705031016,13.741138888888887,14.000472222222223,0.25933333333333586,13.55111111111111,13.764416666666666,0.21330555555555542,58.762,59.14191666666667,0.37991666666666646,96.44847222222221,96.51758333333333,0.06911111111112689,6.973259898323782,7.13100740945653,0.1577475111327482,11.312297867695623,11.469853123456542,0.15755525576091856,0.19002777777777777,0.2360555555555557,0.046027777777777945,-4.339037969371839,-4.33884571400001,0.0001922553718287645,0.050795802363299655,0.021155365701705117,0.029475626728371455,0.016616930345683057,0.4400000000000013,0.379999999999999,0.740000000000002,0.27861295592494173,0.9714215761862987,0.7908960638495004,0.9646891210779891,0.0,1.0,0.0,0.06299999999999883,-0.0006666666666674814,0.06750000000000256,0.1966740980837856,0.43137254901960786
2026-03-08 172014_seal_unheated,Serial Data Log,W0093,2026-03-12 13:00:00,2026-03-13 01:00:00,2026-03-12 19:00:00,外部高湿驱动工况,candidate_high_info,transition_run,1.0,post_transition,seal,无,2026-03-10 10:00:00,13.904305555555554,0.13242917532829837,0.03622428923915216,13.685791666666667,0.10878356834880056,0.027006025915093927,59.01477777777778,0.2176507660744656,0.0625821413003591,96.49605555555556,0.04614179298094354,0.009862323089430835,7.074120071010681,0.08258150339914173,0.023206150156941243,11.41217953203671,0.07997174228475247,0.0200876510755258,0.21851388888888898,0.04144319068793495,0.009218263324058576,-4.338059461026029,0.026921244218621788,0.0031184990814160075,13.791444444444444,14.017166666666665,0.22572222222222038,13.605694444444442,13.76588888888889,0.16019444444444808,58.82686111111111,59.20269444444445,0.3758333333333397,96.46691666666668,96.52519444444442,0.058277777777746564,7.002611441340471,7.1456287006808905,0.14301725934041976,11.352565208829732,11.471793855243689,0.1192286464139567,0.18575000000000003,0.25127777777777793,0.0655277777777779,-4.349953767489259,-4.3261651545627995,0.023788612926459507,0.054028270443890906,0.010099767452029444,0.030937710413794846,0.011728902693508831,0.35999999999999943,0.28000000000000114,0.7800000000000011,0.24899185146626834,0.9597940505134576,0.7488215700574604,0.9456448939876012,0.0,1.0,0.0,0.06299999999999883,-0.007166666666664767,0.06750000000000256,0.16821030051147995,0.4019607843137255
