file,seal_label,expected_family,total_windows,cooling_window_count,cooling_window_ratio,frac_pos_delta_half_dAH,frac_pos_delta_half_in_hum,median_delta_half_dAH,q75_delta_half_dAH,median_delta_in_temp,median_slope_in_temp,dominant_cooling_class_label,final_status,risk_level,primary_evidence,notes,cooling_branch_status
2026-03-14 174006_unseal_heated,unseal,ext_high_hum_with_heat,68,22,0.3235294117647059,0.5909090909090909,0.9090909090909091,0.03277946791694908,0.06112349906793796,-0.37500000000000355,-0.0904463811677304,热源稳定工况,gated_heat_related,abstain,gate_only,heat-related windows dominate,ext_high_hum_cooling_response_weak
2026-03-03 101220_seal_heated,seal,ext_high_hum_with_heat,4,0,0.0,,,,,,,,gated_heat_related,abstain,gate_only,heat-related windows dominate,ext_high_hum_cooling_no_segment
2026-03-13 080032_unseal_heated,unseal,ext_high_hum_with_heat,31,0,0.0,,,,,,,,gated_heat_related,abstain,gate_only,heat-related windows dominate,ext_high_hum_cooling_no_segment
