file,seal_label,hits_2h,score_2h,features_2h,final_status_2h,primary_evidence_2h,notes_2h,hits_6h,score_6h,features_6h,final_status_6h,primary_evidence_6h,notes_6h,hits_12h,score_12h,features_12h,final_status_12h,primary_evidence_12h,notes_12h,score_main_minus_long,score_short_minus_main,short_window_support,fused_no_heat_status_v2,fused_no_heat_rationale_v2
2026-03-06 160246_seal_unheated,seal,5,0.40379513655220484,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w",static_hard_case_watch,hard_case_multiview,threshold_pred=1 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=0.570 | hard case watch overrides static alerting,5,0.26493597343125486,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w",static_hard_case_watch,hard_case_multiview,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=5 | hard_case_ratio=0.688 | hard case watch overrides static alerting,5,0.4640898207421993,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w",static_hard_case_watch,hard_case_multiview,threshold_pred=0 | similarity_pred=1 | dynamic_vote_count=5 | hard_case_ratio=0.547 | hard case watch overrides static alerting,-0.19915384731094443,0.13885916312094998,True,ext_high_hum_no_heat_multiscale_breathing_watch,long_scale_not_weaker_than_main | short_scale_more_spiky_than_main
2026-03-02 161335_seal_unheated,seal,0,0.0,,static_hard_case_watch,hard_case_multiview,threshold_pred=1 | similarity_pred=0 | dynamic_vote_count=0 | hard_case_ratio=0.563 | hard case watch overrides static alerting,0,0.0,,static_abstain_low_signal,similarity_branch,threshold branch abstained | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=1.090,0,0.0,,static_abstain_low_signal,similarity_branch,threshold branch abstained | similarity_pred=0 | dynamic_vote_count=1 | hard_case_ratio=1.164,0.0,0.0,False,ext_high_hum_no_heat_multiscale_negative,main_and_long_low_signal
2026-03-03 181049_unseal_unheated,unseal,6,0.37096991771212734,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w,std_in_hum_run",static_dynamic_support_alert,multiview_support,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=6 | hard_case_ratio=0.845 | multiview support recovers static miss,6,0.5058680696074465,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,frac_pos_delta_half_dAH,q90_delta_half_dAH_w,std_in_hum_run",static_dynamic_support_alert,multiview_support,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=6 | hard_case_ratio=0.902 | multiview support recovers static miss,5,0.37096991771212734,"corr_out_hum_in_hum,max_corr_outRH_inRH_change,frac_threshold_favored,q90_delta_half_dAH_w,std_in_hum_run",static_dynamic_support_alert,multiview_support,threshold_pred=0 | similarity_pred=0 | dynamic_vote_count=4 | hard_case_ratio=0.863 | multiview support recovers static miss,0.13489815189531912,-0.13489815189531912,True,ext_high_hum_no_heat_multiscale_supported,main_scale_stronger_than_long_scale | short_window_confirms_local_response
