file,n_windows,dominant_label,dominant_ratio,expected_family,initial_state,heat_source,ext_humidity_level,in_humidity_level,hole_time,near_transition_windows,near_transition_transition_label_ratio,expected_match_ratio,count_低信息工况,ratio_低信息工况,count_外部高湿驱动工况,ratio_外部高湿驱动工况,count_热源稳定工况,ratio_热源稳定工况,count_热源启动窗口,ratio_热源启动窗口,count_冷却窗口,ratio_冷却窗口,count_内部积湿状态切换窗口,ratio_内部积湿状态切换窗口,count_内部积湿工况,ratio_内部积湿工况,count_复杂耦合工况,ratio_复杂耦合工况
2026-03-02 161335_seal_unheated,7,外部高湿驱动工况,1.0,ext_high_hum_no_heat,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,1.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-03 181049_unseal_unheated,5,外部高湿驱动工况,0.8,ext_high_hum_no_heat,非密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,0.8,0,0.0,4,0.8,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0
2026-03-06 160246_seal_unheated,32,外部高湿驱动工况,1.0,ext_high_hum_no_heat,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,,0,,1.0,0,0.0,32,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-13 080032_unseal_heated,23,热源稳定工况,0.5652173913043478,ext_high_hum_with_heat,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,1.0,0,0.0,0,0.0,13,0.5652173913043478,7,0.30434782608695654,0,0.0,0,0.0,0,0.0,3,0.13043478260869565
2026-03-14 174006_unseal_heated,60,热源稳定工况,1.0,ext_high_hum_with_heat,非密封状态，外部湿度高，内部湿度低，有热源,有,高,低,,0,,1.0,0,0.0,0,0.0,60,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-04 120007_seal_unheated-2026-03-04 163909_unseal_unheated,35,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-04 16:39:09,5,0.0,1.0,0,0.0,35,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-08 172014_seal_unheated,102,外部高湿驱动工况,1.0,transition_run,密封状态，外部湿度高，内部湿度低，无热源,无,高,低,2026-03-10 10:00:00,13,0.0,1.0,0,0.0,102,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-04 163909_unseal_unheated,31,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,31,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-17 180258_seal_heated,5,热源启动窗口,1.0,unknown,,,,,,0,,,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-21 170450_unseal_heated,36,外部高湿驱动工况,0.8055555555555556,unknown,,,,,,0,,,0,0.0,29,0.8055555555555556,0,0.0,0,0.0,7,0.19444444444444445,0,0.0,0,0.0,0,0.0
2026-03-22 150919_unseal_unheated,16,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2026-03-23 213435_seal_unheated,9,外部高湿驱动工况,1.0,unknown,,,,,,0,,,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
