segment_id,run_id,segment_name,segment_role,segment_source,segment_hours,segment_analyzable,segment_seal_state,primary_task,secondary_tasks,static_bucket,final_assessment_v1,raw_label_v1,raw_confidence_v1,static_vote_count_v1,prototype_margin_v1,transition_bucket,transition_recommended_use,transition_anchor_v1,support_status_v1,support_risk_v1,support_reason_v1,needs_review_v1
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,full,mainfield_extHigh_intLow_noHeat,full_run,15.206944444444444,True,unsealed,static_eval_only,,static_positive_eval_only,review_weak_positive,negative,high,1.0,-2.2491051254840846,,,True,static_review_weak_positive,watch,segment carries positive label but static evidence remains weak and should be reviewed instead of promoted,True
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,full,mainfield_extHigh_intLow_noHeat,full_run,42.303333333333335,True,sealed,control_challenge,,static_breathing_watch,watch_breathing,positive,high,4.0,2.0427104897468986,,,True,static_watch_breathing,watch,segment looks positive-like to the raw static baseline but remains a sealed breathing hard case,True
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,post_change,mainfield_extHigh_intLow_noHeat,heat_off,47.59916666666667,True,unsealed,control_challenge,,static_heatoff_confound_challenge,watch_confound,negative,high,1.0,-2.2142873672550953,,,True,static_watch_confound,watch,segment enters the battlefield after heat-off and should not be treated as a clean static positive,True
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::pre_change,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,pre_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,4.620555555555556,False,sealed,transition_context,,,,,,,,transition_primary_mainfield,transition_train_eval_primary,True,transition_primary_support,high,segment belongs to a mainfield seal-to-unsealed transition run,True
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::pre_change,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,pre_change,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,11.40277777777778,False,sealed,transition_context,,,,,,,,transition_primary_mainfield,transition_train_eval_primary,True,transition_primary_support,high,segment belongs to a mainfield seal-to-unsealed transition run,True
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,post_change,internal_moisture_control,seal_change_to_unsealed,71.9888888888889,True,unsealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::pre_change,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,pre_change,internal_moisture_control,seal_change_to_unsealed,23.61138888888889,True,sealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,post_change,internal_moisture_control,seal_change_to_unsealed,48.00388888888889,True,unsealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::pre_change,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,pre_change,internal_moisture_control,seal_change_to_unsealed,51.681111111111115,True,sealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,post_change,balanced_control,seal_change_to_unsealed,48.00472222222222,True,unsealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::pre_change,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,pre_change,balanced_control,seal_change_to_unsealed,65.0188888888889,True,sealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,post_change,balanced_control,seal_change_to_unsealed,43.41833333333334,True,unsealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::pre_change,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,pre_change,balanced_control,seal_change_to_unsealed,30.25888888888889,True,sealed,transition_context,control_challenge,,,,,,,transition_secondary_control,transition_challenge_secondary,True,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,True
