file,seal_label,expected_family,total_windows,cooling_window_count,cooling_window_ratio,frac_pos_delta_half_dAH,frac_pos_delta_half_in_hum,median_delta_half_dAH,q75_delta_half_dAH,median_delta_in_temp,median_slope_in_temp,dominant_cooling_class_label,final_status,risk_level,primary_evidence,notes,cooling_branch_status
2026-03-14 174006_unseal_heated,unseal,ext_high_hum_with_heat,60,18,0.3,0.6666666666666666,1.0,0.13122421778306015,0.24756131017628408,-0.6550000000000011,-0.07571388121905424,热源稳定工况,gated_heat_related,abstain,gate_only,heat-related windows dominate,ext_high_hum_cooling_response_candidate
2026-03-13 080032_unseal_heated,unseal,ext_high_hum_with_heat,23,0,0.0,,,,,,,,gated_heat_related,abstain,gate_only,heat-related windows dominate,ext_high_hum_cooling_no_segment
