file,sheet,window_id,start_time,end_time,window_center_time,n_samples,class_label,predicted_group,expected_family,expected_candidates,expected_match,transition_phase,device_id_manifest,initial_state,ext_humidity_level,in_humidity_level,heat_source,hole_time,updated_time,notes,image_path,csv_path,mean_in_temp,std_in_temp,slope_in_temp,mean_out_temp,std_out_temp,slope_out_temp,mean_in_hum,std_in_hum,slope_in_hum,mean_out_hum,std_out_hum,slope_out_hum,mean_AH_in,std_AH_in,slope_AH_in,mean_AH_out,std_AH_out,slope_AH_out,mean_dT,std_dT,slope_dT,mean_dAH,std_dAH,slope_dAH,first_mean_in_temp,second_mean_in_temp,delta_half_in_temp,first_mean_out_temp,second_mean_out_temp,delta_half_out_temp,first_mean_in_hum,second_mean_in_hum,delta_half_in_hum,first_mean_out_hum,second_mean_out_hum,delta_half_out_hum,first_mean_AH_in,second_mean_AH_in,delta_half_AH_in,first_mean_AH_out,second_mean_AH_out,delta_half_AH_out,first_mean_dT,second_mean_dT,delta_half_dT,first_mean_dAH,second_mean_dAH,delta_half_dAH,first_slope_in_temp,second_slope_in_temp,first_slope_AH_in,second_slope_AH_in,delta_in_temp,delta_out_temp,delta_in_hum,delta_AH_in,corr_temp,corr_hum,corr_AH,high_in_hum_ratio,high_out_hum_ratio,in_ah_gt_out_ah_ratio,max_hourly_temp_rise,max_hourly_temp_drop,max_hourly_hum_rise
2026-03-02 161335_seal_unheated,Serial Data Log,W0001,2026-03-02 16:00:00,2026-03-02 22:00:00,2026-03-02 19:00:00,347,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,19.44170028818444,0.6484327411072032,0.2919946100899156,20.38244956772334,0.376364637894326,0.0564334270304421,57.7228530259366,0.7416016791988326,-0.4358798792665267,76.73731988472623,4.212387871783547,2.026708737041265,9.654070861001454,0.26906078236574366,0.09141139274812253,13.572278959258673,0.9319855759324015,0.39050523559866723,-0.9407492795389051,0.4196124181506577,0.23556118305947202,-3.918208098257218,0.7058728157723114,-0.29909384285054463,19.026647398843934,19.854367816091955,0.8277204172480204,20.32150289017341,20.443045977011494,0.12154308683808424,58.36416184971098,57.08522988505748,-1.278931964653502,74.01982658959538,79.43919540229886,5.419368812703482,9.527159266962936,9.780253078062737,0.25309381109980045,13.055838853071391,14.085751018858671,1.0299121657872803,-1.29485549132948,-0.5886781609195403,0.7061773304099398,-3.5286795861084537,-4.305497940795933,-0.776818354687479,0.8111922202302082,-0.18377138516143743,0.3629893382835372,-0.15244610517520088,1.4600000000000009,1.0800000000000018,-2.1000000000000014,0.46239076086105513,0.7909143231359573,-0.8165187341875816,0.882782401450501,0.0,0.0893371757925072,0.0,0.8879042553191496,-0.29683333333333906,-0.23183333333334133
2026-03-02 161335_seal_unheated,Serial Data Log,W0002,2026-03-02 17:00:00,2026-03-02 23:00:00,2026-03-02 20:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,19.583871866295265,0.392361843122044,0.03217937992639315,20.360389972144844,0.3694407119900264,-0.15002977103081488,57.39440111420612,0.6393145033461224,-0.3576770126649704,78.44526462395542,2.051867625798727,1.1233068132652402,9.678880150018069,0.20678163922026122,-0.04139893776885353,13.841944687442231,0.3533689617476171,0.07583798553282965,-0.7765181058495823,0.3402075756118091,0.1822091509572054,-4.1630645374241615,0.24406571508170616,-0.11723692330168363,19.557262569832403,19.610333333333333,0.053070763500929985,20.60245810055866,20.119666666666667,-0.4827914338919932,57.92508379888268,56.86666666666667,-1.0584171322160145,76.83726256983239,80.04433333333333,3.207070763500937,9.75280417971143,9.605366809378555,-0.14743737033287552,13.755283822963243,13.928124102674115,0.17284027971087212,-1.0451955307262573,-0.5093333333333334,0.5358621973929238,-4.002479643251807,-4.3227572932955605,-0.32027765004375386,0.5069804588405844,-0.349621621523166,0.19723634885016128,-0.22970300024137633,0.5700000000000003,-0.6400000000000006,-2.1799999999999997,-0.03758097380596759,0.6025792059218513,-0.9938149019876175,0.7394271310707637,0.0,0.25069637883008355,0.0,0.7221666666666664,-0.4077457627118619,-0.14972316384179862
2026-03-02 161335_seal_unheated,Serial Data Log,W0003,2026-03-02 18:00:00,2026-03-03 00:00:00,2026-03-02 21:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,19.550612813370474,0.43535211838946763,-0.20318929002467542,20.17635097493036,0.5488065257716,-0.303493325868996,57.072256267409465,0.4569973424595367,-0.254573648062155,79.52515320334261,1.3815000415241867,0.7750537104868004,9.608409058690542,0.2968617913584516,-0.15610530682368975,13.882554175262955,0.2673719554352537,-0.1100427217307617,-0.6257381615598887,0.20034034858577815,0.10030403584432013,-4.2741451165724165,0.10470415173478925,-0.04606258509292659,19.878603351955306,19.224444444444444,-0.6541589075108618,20.649608938547484,19.70572222222222,-0.9438867163252631,57.44782122905028,56.69877777777777,-0.7490434512725059,78.41944134078213,80.62472222222222,2.205280881440089,9.855531353591813,9.362659665427609,-0.4928716881642039,14.073007540946197,13.69315888383351,-0.3798486571126869,-0.771005586592179,-0.4812777777777779,0.2897278088144011,-4.217476187354386,-4.330499218405902,-0.11302303105151612,0.12153593186696271,-0.4309996335271535,0.0014916226054504048,-0.259986318274871,-0.8400000000000034,-1.5500000000000007,-1.6499999999999986,-0.7321587986522076,0.9429434816523239,-0.9926603639462254,0.936418112549404,0.0,0.4178272980501393,0.0,0.28149999999999764,-0.44975423728813624,-0.11711016949153219
2026-03-02 161335_seal_unheated,Serial Data Log,W0004,2026-03-02 19:00:00,2026-03-03 01:00:00,2026-03-02 22:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,19.32590529247911,0.6083650605280951,-0.34274390348957856,19.86718662952646,0.667987176004723,-0.38370454978869367,56.841643454039,0.32158880352617913,-0.1791438466784275,80.28735376044568,1.0430418371020966,0.5984254660092739,9.446986786735215,0.3840830704702476,-0.21936523455773438,13.766952276129343,0.3648426104376458,-0.20626440643324084,-0.5412813370473537,0.09762559000541629,0.0409606462991183,-4.319965489394128,0.03313080326326812,-0.013100828124496037,19.859385474860336,18.79538888888889,-1.063996585971445,20.456648044692738,19.281,-1.175648044692739,57.1041340782123,56.580611111111104,-0.5235229671011936,79.38798882681564,81.18172222222223,1.7937333954065906,9.786340278987621,9.109518591661988,-0.6768216873256332,14.087768581316103,13.447918283749177,-0.6398502975669267,-0.5972625698324022,-0.48561111111111116,0.11165145872129106,-4.301428302328482,-4.338399692087188,-0.03697138975870651,-0.1691392479848205,-0.43703446799863044,-0.14515204047601768,-0.2517481853998629,-1.759999999999998,-2.09,-1.1600000000000037,-1.1574444922501694,0.9926473272480433,-0.9783909223749868,0.9974043548947982,0.0,0.584958217270195,0.0,-0.048333333333328454,-0.44975423728813624,-0.08433333333332627
2026-03-02 161335_seal_unheated,Serial Data Log,W0005,2026-03-02 20:00:00,2026-03-03 02:00:00,2026-03-02 23:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,18.98927576601671,0.7007322819759715,-0.40395787399838384,19.495208913649023,0.7094512777147217,-0.4096161840978367,56.67766016713092,0.2272819388375588,-0.1268746357542939,80.87643454038997,0.9525590880537527,0.5491701647381575,9.236193451527738,0.4170319556082956,-0.24067436762933442,13.569722359050441,0.40623732564767084,-0.2344915845426814,-0.505933147632312,0.03960920818478482,0.0056583100994514095,-4.333528907522704,0.01801654442292771,-0.006182783086650707,19.608100558659217,18.37388888888889,-1.2342116697703283,20.116703910614525,18.877166666666664,-1.2395372439478614,56.86469273743016,56.49166666666667,-0.37302607076349403,80.04860335195531,81.69966666666667,1.6510633147113651,9.60376345724002,8.870665501402744,-0.7330979558372768,13.926447681674277,13.214978843774515,-0.711468837899762,-0.5086033519553073,-0.5032777777777778,0.005325574177529435,-4.3226842244342585,-4.344313342371771,-0.0216291179375121,-0.3509984997720366,-0.4060802343963248,-0.23033177625582102,-0.2255586470075942,-2.2399999999999984,-2.3100000000000023,-0.8000000000000043,-1.3474877806164258,0.9984985293262711,-0.9691676449712533,0.9993859070004799,0.0,0.7520891364902507,0.0,-0.29683333333333906,-0.44975423728813624,-0.06483333333333974
2026-03-02 161335_seal_unheated,Serial Data Log,W0006,2026-03-02 21:00:00,2026-03-03 03:00:00,2026-03-03 00:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,18.601532033426185,0.7100241112075935,-0.4097795563599008,19.103314763231197,0.6884805459124275,-0.39710137079196434,56.55908077994429,0.16714992314783933,-0.09397142497205767,81.41208913649025,0.9157347892938188,0.5278529558846914,9.007918728861645,0.405553502276602,-0.23376727390959204,13.34794660630284,0.3924188771641227,-0.2261413030054833,-0.5017827298050139,0.03200292640794905,-0.012678185567936241,-4.340027877441196,0.019330273162709813,-0.007625970904107717,19.221173184357543,17.985333333333337,-1.2358398510242061,19.70212290502793,18.507833333333334,-1.194289571694597,56.69754189944135,56.42138888888889,-0.27615301055245567,80.63,82.18983333333333,1.55983333333333,9.360630689915725,8.657166278702311,-0.7034644112134139,13.691154544160009,13.006645379211543,-0.6845091649484658,-0.48094972067039116,-0.5224999999999999,-0.0415502793296087,-4.330523854244286,-4.349479100509233,-0.01895524626494627,-0.4316486141167475,-0.370328699592637,-0.26026516372866326,-0.20055915581670516,-2.3599999999999994,-2.280000000000001,-0.6000000000000014,-1.3578382875876045,0.9994271493457101,-0.9809924966404154,0.9993680645149178,0.0,0.9192200557103064,0.0,-0.3541666666666643,-0.44975423728813624,-0.061666666666667425
2026-03-02 161335_seal_unheated,Serial Data Log,W0007,2026-03-02 22:00:00,2026-03-03 04:00:00,2026-03-03 01:00:00,359,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,18.209944289693595,0.6720576235723086,-0.3873603259482518,18.72448467966574,0.6385866894636644,-0.36788519811532916,56.468217270195,0.1347836985663744,-0.07633023165596921,81.91991643454038,0.8393770926179919,0.483780973983844,8.786131598241179,0.37255218927331546,-0.21440394226043952,13.133699548746703,0.3623652745852799,-0.20844536287684035,-0.5145403899721448,0.03858890787545925,-0.019475127832921303,-4.347567950505524,0.0169156996521766,-0.005958579383597278,18.791843575418994,17.631277777777782,-1.1605657976412118,19.27731843575419,18.174722222222222,-1.1025962135319674,56.57983240223463,56.35722222222222,-0.22261018001240984,81.18620111731843,82.64955555555555,1.4633544382371184,9.107461341349826,8.466587020372025,-0.640874320977801,13.445730779417927,12.82340182491254,-0.6223289545053863,-0.48547486033519555,-0.5434444444444444,-0.05796958410924885,-4.338269438068104,-4.356814804540513,-0.01854536647240934,-0.4372333121217697,-0.33637709959628337,-0.25183238867931046,-0.1794924171677996,-2.2699999999999996,-2.1900000000000013,-0.490000000000002,-1.2665650247806575,0.9995703300400546,-0.9827331539549432,0.9993245640896611,0.0,1.0,0.0,-0.3198333333333352,-0.44975423728813624,-0.061666666666667425
2026-03-02 161335_seal_unheated,Serial Data Log,W0008,2026-03-02 23:00:00,2026-03-03 05:00:00,2026-03-03 02:00:00,360,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,17.841694444444446,0.6177244303371408,-0.3549327452640848,18.376583333333333,0.5822860947165737,-0.3343242916998459,56.39311111111111,0.11704242446271423,-0.06646804786668523,82.36875,0.7674567076064547,0.4400423558033005,8.583315555659434,0.3344233173431117,-0.19192426336626803,12.935866003793505,0.32697914231879693,-0.18756362295463008,-0.5348888888888889,0.04034653359503452,-0.020608453564239435,-4.35255044813407,0.01532144398571084,-0.004360640411638972,18.37388888888889,17.3095,-1.0643888888888888,18.877166666666664,17.876,-1.0011666666666628,56.49166666666667,56.29455555555556,-0.19711111111110569,81.69966666666667,83.03783333333334,1.338166666666666,8.870665501402744,8.295965609916124,-0.5746998914866204,13.214978843774515,12.656753163812498,-0.5582256799620176,-0.5032777777777778,-0.5664999999999998,-0.06322222222222196,-4.344313342371771,-4.360787553896369,-0.01647421152459838,-0.4060802343963248,-0.30540957729009444,-0.2255586470075942,-0.16085922513239506,-2.150000000000002,-1.990000000000002,-0.4099999999999966,-1.1674334700716127,0.9994829370911572,-0.9826039711176535,0.9991800100280628,0.0,1.0,0.0,-0.2913333333333341,-0.423333333333332,-0.06033333333333246
2026-03-02 161335_seal_unheated,Serial Data Log,W0009,2026-03-03 00:00:00,2026-03-03 06:00:00,2026-03-03 03:00:00,360,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,17.501833333333334,0.5613354301850709,-0.3225797720798941,18.056472222222222,0.5249995880678108,-0.3015411494598028,56.32938888888889,0.10678728962001387,-0.060527588005697394,82.77913888888888,0.6918221732315369,0.3954723724817252,8.400640378103276,0.2981503463150069,-0.17115866269782598,12.755091397636786,0.29209696674487506,-0.16782583366624998,-0.5546388888888888,0.040818678324448014,-0.021038622620091197,-4.35445101953351,0.014697011350857388,-0.00333282903157626,17.985333333333337,17.018333333333334,-0.9670000000000023,18.507833333333334,17.60511111111111,-0.9027222222222235,56.42138888888889,56.23738888888889,-0.1840000000000046,82.18983333333333,83.36844444444445,1.178611111111124,8.657166278702311,8.144114477504242,-0.5130518011980687,13.006645379211543,12.503537416062029,-0.5031079631495139,-0.5224999999999999,-0.5867777777777777,-0.06427777777777788,-4.349479100509233,-4.359422938557789,-0.009943838048556586,-0.370328699592637,-0.27663768716007414,-0.20055915581670516,-0.14277676654912955,-1.9200000000000017,-1.8200000000000003,-0.37000000000000455,-1.0232408618384374,0.999413182800859,-0.9789554630359663,0.9989702538435448,0.0,1.0,0.0,-0.2623333333333342,-0.38816666666666677,-0.0451666666666668
2026-03-02 161335_seal_unheated,Serial Data Log,W0010,2026-03-03 01:00:00,2026-03-03 07:00:00,2026-03-03 04:00:00,360,外部高湿驱动工况,candidate_high_info,ext_high_hum_no_heat,外部高湿驱动工况|内部积湿状态切换窗口,1.0,no_transition,000120165524,密封状态，外部湿度高，内部湿度低，无热源,高,低,无,,2026-03-03,,,,17.192722222222223,0.5092583832373847,-0.29263882132796903,17.76986111111111,0.47024527783345915,-0.2699178215807653,56.27002777777778,0.102385199278312,-0.05798064355689266,83.16080555555556,0.6043239423248925,0.3461223352506304,8.237348990925028,0.2665820958190925,-0.15304766548663162,12.596827247744354,0.26202032083966337,-0.1503088845476693,-0.5771388888888889,0.04420618490977616,-0.022720999747204765,-4.359478256819324,0.014640960763935687,-0.002738780938962226,17.631277777777782,16.754166666666666,-0.8771111111111161,18.174722222222222,17.365,-0.8097222222222236,56.35722222222222,56.18283333333334,-0.1743888888888776,82.64955555555555,83.67205555555554,1.0224999999999937,8.466587020372025,8.00811096147803,-0.4584760588939947,12.82340182491254,12.370252670576166,-0.4531491543363746,-0.5434444444444444,-0.6108333333333335,-0.06738888888888905,-4.356814804540513,-4.362141709098135,-0.005326904557621859,-0.33637709959628337,-0.25081480971957243,-0.1794924171677996,-0.12809736692353557,-1.7699999999999996,-1.6500000000000021,-0.35999999999999943,-0.9296115662613991,0.9990976887881131,-0.9791292436827502,0.9986145444136779,0.0,1.0,0.0,-0.23883333333333212,-0.3541666666666643,-0.0451666666666668
