feature,group,auc,direction,sealed_median,unsealed_median
ah_ingress_count,ingress_proxy,1.0,pos,28.5,53.0
amp_in_hum_p90_p10,amplitude_dispersion,1.0,pos,1.4619999999999997,5.072000000000003
corr_headroom_in_hum,coupling_lag,1.0,neg,-0.19116426564428654,-0.916020728825381
delta_half_dAH,legacy_static,1.0,pos,-0.19041303141506916,0.2215958694453386
delta_half_in_h,legacy_static,1.0,pos,-0.31504542982154504,3.1603951718045096
dew_ingress_count,ingress_proxy,1.0,pos,28.5,53.0
dew_ingress_r2,ingress_proxy,1.0,neg,0.685907723322146,0.42981260535355803
duration_h,legacy_static,1.0,pos,29.05027777777778,53.38583333333333
early_dew_gain_per_out,dew_vapor,1.0,pos,0.32142842530986476,1.0845531334876746
end_start_dAH,legacy_static,1.0,pos,-2.231978644859113,0.44844350648961573
late_minus_early_rh_gain,response_persistence,1.0,pos,-0.105318731794598,2.916660784295348
late_minus_early_vpd_gap,ingress_proxy,1.0,pos,-0.06210652495632904,0.05477368922398895
late_rh_gain_per_out,response_persistence,1.0,pos,0.20859977800652962,4.555696202531986
max_corr_outRH_inRH_change,coupling_lag,1.0,pos,-0.0516166976558608,0.7561789094099997
slope_dAH_per_h,legacy_static,1.0,pos,-0.023703469072557843,0.009061957242461898
slope_in_h_per_h,legacy_static,1.0,pos,-0.05863015516322716,0.0885856793772571
std_in_hum_run,amplitude_dispersion,1.0,pos,0.5548232121270599,1.859859648887262
vpd_in_mean,ingress_proxy,1.0,neg,0.8112379138772743,0.6673454503888749
ah_neg_response_ratio,ingress_proxy,0.8333333333333334,neg,0.674264705882353,0.2535211267605634
best_lag_h,coupling_lag,0.8333333333333334,pos,0.5,1.0
best_lag_level_ah,coupling_lag,0.8333333333333334,pos,0.5,1.0
best_lag_level_dew,dew_vapor,0.8333333333333334,pos,0.5,1.0
best_lag_level_hum,coupling_lag,0.8333333333333334,neg,3.5,0.0
dew_headroom_capture_ratio,dew_vapor,0.8333333333333334,pos,0.32573529411764707,0.7323943661971831
dew_neg_response_ratio,ingress_proxy,0.8333333333333334,neg,0.674264705882353,0.2676056338028169
early_rh_gain_per_out,response_persistence,0.8333333333333334,pos,0.3139185098011276,1.6390354182366382
gain_ratio_dAH_change,coupling_lag,0.8333333333333334,pos,0.4796925043250684,0.5790646134433108
headroom_gain_ratio,response_persistence,0.8333333333333334,pos,-0.010397870866402694,0.0032519237533467455
mean_dAH,legacy_static,0.8333333333333334,pos,-4.413694142014737,-4.1836086208536845
positive_ah_response_ratio,response_persistence,0.8333333333333334,pos,0.32573529411764707,0.746031746031746
early_resp_ratio,response_persistence,0.75,pos,0.5,1.0
late_resp_ratio,response_persistence,0.75,pos,0.5,1.0
positive_response_ratio,response_persistence,0.75,pos,0.5,1.0
ah_gap_area_pos,ingress_proxy,0.6666666666666666,pos,128.32966638889337,177.0877999931516
ah_gap_q90,ingress_proxy,0.6666666666666666,neg,4.533138931891504,4.386159714887315
ah_ingress_r2,ingress_proxy,0.6666666666666666,neg,0.46373721756439523,0.43678791549616747
ah_ingress_slope,ingress_proxy,0.6666666666666666,pos,-0.14291043758521885,0.07121506333378269
amp_headroom_p90_p10,amplitude_dispersion,0.6666666666666666,pos,0.2825485806996053,0.35878576762493974
best_lag_dew_h,dew_vapor,0.6666666666666666,pos,1.0,1.0
corr_dew_gap_in_dew,dew_vapor,0.6666666666666666,neg,-0.23841145736651723,-0.9489582027990513
corr_headroom_AH_in,coupling_lag,0.6666666666666666,neg,0.2870399940056301,-0.8476638955512444
dew_gap_area_pos,dew_vapor,0.6666666666666666,pos,218.28507877493564,283.270033419704
dew_gap_mean,dew_vapor,0.6666666666666666,neg,7.181242471585669,6.907555049009184
dew_gap_q90,dew_vapor,0.6666666666666666,neg,7.583239035665878,7.029460227780661
dew_pos_gain_per_area,ingress_proxy,0.6666666666666666,neg,0.007536605802356348,0.004812251683300223
early_ah_resp_ratio,response_persistence,0.6666666666666666,pos,0.8,1.0
headroom_area_pos,response_persistence,0.6666666666666666,pos,128.32966638889337,177.0877999931516
late_ah_decay_per_headroom,response_persistence,0.6666666666666666,pos,-0.013959804300772717,-0.0029720564996772616
late_ah_resp_ratio,response_persistence,0.6666666666666666,pos,0.0,0.0
max_corr_dAH_change,coupling_lag,0.6666666666666666,neg,0.9656124772559015,0.96135249067962
max_corr_dew_change,dew_vapor,0.6666666666666666,neg,0.9656460051483602,0.9606285203949513
max_corr_level_ah,coupling_lag,0.6666666666666666,neg,0.9241664079641472,0.9533354188565744
max_corr_level_dew,dew_vapor,0.6666666666666666,neg,0.9310875859016883,0.9548777698020857
positive_drive_ratio,response_persistence,0.6666666666666666,neg,0.9600271002710027,0.875
vpd_gap_mean,ingress_proxy,0.6666666666666666,pos,-0.5563256529014239,-0.5537676971731335
best_lag_rh_h,coupling_lag,0.5833333333333334,neg,3.0,0.0
ah_pos_gain_per_area,ingress_proxy,0.5,pos,0.006255685948622766,0.003650086091710344
amp_AH_in_p90_p10,amplitude_dispersion,0.5,pos,1.1488506556016276,0.8470928707062146
amp_dew_in_p90_p10,dew_vapor,0.5,pos,2.107806449211774,1.5669833316856678
corr_out_AH_in_AH,coupling_lag,0.5,pos,0.8986626588536473,0.9358607675431221
corr_out_dew_in_dew,dew_vapor,0.5,pos,0.8981141036460607,0.9376740009742844
corr_out_hum_in_hum,coupling_lag,0.5,pos,0.03215826766457597,0.9908212391624115
dew_gap_pos_ratio,dew_vapor,0.5,pos,1.0,1.0
dew_ingress_slope,ingress_proxy,0.5,pos,0.154193204343439,0.0695635063968226
late_minus_early_resp_ratio,response_persistence,0.5,pos,0.0,0.0
max_corr_level_hum,coupling_lag,0.5,pos,0.03409487855011745,0.9936248872887996
mean_dT,legacy_static,0.5,pos,-0.21409807759307722,-0.011410414104141049
positive_headroom_ratio,response_persistence,0.5,pos,1.0,1.0
std_AH_in_run,amplitude_dispersion,0.5,pos,0.4203926306741667,0.30732209902213775
std_dew_in_run,dew_vapor,0.5,pos,0.7695925177678765,0.5845854517072863
